name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Zarkashī, Muḥammad ibn Bahādur, 1344 or 1345-1392",author,زركشي، محمد بن بهادر,,human,Zarkashi,Q4322459,DSNAME7524,Q67810,,,,
"Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī, 817 or 818-889",author,ابو داود سليمان بن الاشعث السجستاني,,human,Abu Dawood,Q336558,DSNAME7526,Q67812,,,,
"Ṣaghānī, al-Ḥasan ibn Muḥammad, 1181-1252",author,صغاني، الحسن بن محمد,http://id.loc.gov/authorities/names/n84238396 http://id.loc.gov/authorities/names/n84238396 http://viaf.org/viaf/sourceID/LC%7cn84238396,,,,,,human,al-Ḥasan Ibn-Muḥammad Ṣaġānī,Q12186422,Q12314
"Muslim ibn al-Ḥajjāj al-Qushayrī, approximately 821-875",author,مسلم بن الحجاج القشيري,http://id.loc.gov/authorities/names/n82164848 http://id.loc.gov/authorities/names/n82164848 http://viaf.org/viaf/sourceID/LC%7cn82164848,,,,,,human,Muslim ibn al-Ḥajjāj,Q140124,Q12512
"Ibn Ghānim, ʻIzz al-Dīn ʻAbd al-Salām ibn Aḥmad, -1279",author,ابن غانم، عز الدين عبد السلام بن احمد,http://id.loc.gov/authorities/names/n84077355,,,,,,human,Izz al-Din al-Mosadeqi,Q15930652,Q40932
"Ghazzālī, 1058-1111",author,,http://id.loc.gov/authorities/names/n82097778,,,,,,human,Al-Ghazali,Q9546,Q12305
"Qalqashandī, ʻAbd al-Raḥmān ibn Aḥmad, 15th cent",author,,,human,ʻAbd al-Raḥmān ibn Aḥmad Qalqashandī,Q131690042,DSNAME7479,Q67765,,,,
"Baghawī, al-Ḥusayn ibn Masʻūd, -1117",author,,http://id.loc.gov/authorities/names/n81020342,,,,,,human,Al-Baghawi,Q48210,Q12296
"Qārī al-Harawī, ʻAlī ibn Sulṭān Muḥammad, -1605 or 1606",author,قاري الهروي، علي بن سلطان محمد,http://id.loc.gov/authorities/names/n82091823,,,,,,human,Ali al-Qari,Q2836379,Q12385
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",author,ابن حجر الهيثمي، احمد بن محمد,http://id.loc.gov/authorities/names/n82165741,,,,,,human,Ibn Hajar al-Haytami,Q3147445,Q12334
"Ikhnawī, Aḥmad ibn Muḥammad",scribe,اخنوي، احمد بن محمد,,,,,,,,,,
"Majlisī, Muḥammad Taqī ibn Maqṣūd ʻAlī, 1594 or 1595-1659 or 1660",author,,,,,,,,human,Muḥammad Taqī ibn Maqṣūd ʻAlī Majlisī,Q129453266,Q49341
"ʻAṭṭār, Ḥasan, active 19th century",scribe,عطار، حسن، active 19th century,,human,Hasan al-Attar,Q12207936,DSNAME7480,Q67766,,,,
"Bahbahānī, Muḥammad Bāqir ibn Muḥammad Akmal, 1706 or 1707-1791 or 1792",author,بهبهاني، محمد باقر بن محمد اكمل، 1706 or 1707-1791 or 1792,,human,Muhammad Baqir Behbahani,Q4115420,DSNAME7535,Q67821,,,,
"Kharā&#x02bc;iṭī, Muḥammad ibn Jaʻfar, -938",author,خرائطي، محمد بن جعفر,,human,Muhammad ibn Ja'far al-Khara'iti,Q20384959,DSNAME7536,Q67822,,,,
"Shumunnī, Aḥmad ibn Muḥammad ibn Muḥammad, 1399-1468",author,,,,,,,,human,Ahmad ibn Muhammad ibn Muhammad Shumunni,Q28715204,Q54286
"Kāfiyajī, Muḥammad ibn Sulaymān, -1474",author,,,,,,,,human,Muḥammad ibn Sulaymān Kāfiyajī,Q129951683,Q54287
"Qarṣī, Dāwūd ibn Muḥammad, -1747 or 1748",author,,,human,Dāwūd al-Qarṣī,Q126453962,DSNAME7537,Q67823,,,,
"Fayḍ al-Kāshī, Muḥammad ibn Murtaḍá, 1598 or 1599-1680 or 1681",author,,,,,,,,human,Mohsen Fayz Kashani,Q4119490,Q49153
"Shuʻaybī, Muḥammad ibn Shuʻayb, -approximately 1621",author,,,human,Muḥammad ibn Shuʻayb Shuʻaybī,Q131690043,DSNAME7481,Q67767,,,,
"Bahbahānī, Muḥammad Bāqir ibn Muḥammad Akmal, 1706 or 1707-1791 or 1792",author,"بهبهاني، محمد باقر بن محمد اكمل،, 1706 or 1707-1791 or 1792",,human,Muhammad Baqir Behbahani,Q4115420,DSNAME7535,Q67821,,,,
"Istānbūlī, Darwīsh Muḥammad ibn Ḥasan",scribe,استانبولي، درويش محمد بن حسن,,,,,,,,,,
"Ibn al-Athīr, Majd al-Dīn al-Mubārak ibn Muḥammad, 1149-1209",author,ابن الاثير، مجد الدين المبارك بن محمد,,,,,,,human,Majd ad-Dīn Ibn Athir,Q25468769,Q12438
"Baghawī, al-Ḥusayn ibn Masʻūd, -1117",author,بغوي، الحسين بن مسعود,http://id.loc.gov/authorities/names/n81020342,,,,,,human,Al-Baghawi,Q48210,Q12296
"Ibn Daqīq al-ʻĪd, Muḥammad ibn ʻAlī, 1228-1302",author,ابن دقيق العيد، محمد بن علي,,human,Ibn Daqiq al-Eid,Q6535677,DSNAME7538,Q67824,,,,
