title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Tattvabodhinī tiṅanta,तत्त्वबोधिनी तिङन्त,,,,Grammatical text,Q6010,,
Mantrakoṣṭhatantra,,,,,Hindu ritual text,Q76765,,
Saṃkṣiptagosahasrapaddhati,संक्षिप्तगोसहस्रपद्धति,,,,Hindu religious manual,Q76774,,
Anantavratodyāpana,अनन्तव्रतोद्यापन,,Puranas,,,,Puranas,Q27588
Cittyupaniṣad,चित्त्युपनिषद्,,Aranyakas,,,,Aranyakas,Q27607
Asthiśuddhi,अस्थिशुद्धि,,,,Hindu ritual text,Q76765,,
Muktāvalī,मुक्तावली,,Ānvīkṣikītattvavivaraṇa,,,,Ānvīkṣikītattvavivaraṇa,Q27697
Kumārasambhava,कुमारसम्भव,,Kumārasambhava,,,,Kumārasambhava,Q27566
Ācamyaprāṇanāyamya,आचम्यप्राणनायम्य,,,,Tantras,Q27776,,
Bhavānīsahasranāmastotra,भवानीसहस्रनामकथन,,Tantras,,,,Tantras,Q27776
Dharmasindhusāra,धर्मसिन्धुसार,,Dharmasindhu,,,,Dharmasindhu,Q27761
Paśusūtra,पशुसूत्र,,,,Hindu ritual text,Q76765,,
Pārāśarīhorāpaddhati,पाराशरीहोरापद्धति,,Parāśarasmr̥ti,,,,Parāśarasmr̥ti,Q27580
Ātmaṣaṭka,आत्मषट्क,,Upanishads,,,,Upanishads,Q27718
Tattvabodha,तत्त्वबोध,,,,Philosophical text,Q5996,,
Vaiyākaraṇabhūṣaṇasāra,वैयाकरणभूषणसार,,,,Grammatical text,Q6010,,
Gaṇeśahṛdayakavaca,गणेशहृदयकवच,,Tantras,,,,Tantras,Q27776
Madanagopāladhyāna,मदनगोपालध्यान,,Tantras,,,,Tantras,Q27776
Gaṇapatipūjā,गणपतिपूजा,,Vratārka,,,,Vratārka,Q27679
Viṣṇusahasranāmastotra,विष्णुसहस्रनामस्तोत्र,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Tarkaprakāśikā,तर्कप्रकाशिका,,Tarkabhāṣā,,,,Tarkabhāṣā,Q27538
Nirukta pūrvaṣaṭka,निरुक्तपूर्वषट्क,,,,Grammatical text,Q6010,,
Laṭakamelakaprahasana,लटकमेलकप्रहसन,,,,,,,
Jīvanmuktiviveka,जीवन्मुक्तिविवेक,,,,Philosophical text,Q5996,,
Paribhāṣenduśekharaṭīkā,परिभाषेन्दुशेखरटीका,,,,Grammatical text,Q6010,,
Tarkāmṛta,तर्कामृत,,,,Philosophical text,Q5996,,
Bisnu Purān,بسن پران,,Puranas,,,,Puranas,Q27588
Paradevatānityapūjāvidhi,परदेवतानित्यपूजाविधि,,,,Hindu religious manual,Q76774,,
Anantapūjā,अनन्तपूजा,Q27588,,,Puranas,Q27588,,
Paribhāṣā,परिभाषा,,,,Vedas,Q27715,,
Bhāgavatamahāpurāṇa,भागवतमहापुराण,,Puranas,,,,Puranas,Q27588
Athavallabhakṛtasubodhinīprāṃbhaḥ,अथवल्लभकृतसुबोधिनीप्रारंभः,,Puranas,पुराण,,,Puranas,Q27588
Sarasvatīnamasyāmī,सरस्वतीनमस्यामी,,,,,,,
Tarkaparibhāṣā,तर्कपरिभाषा,,,,Philosophical text,Q5996,,
Māsabhāvaphala,मासभावफल,,,,Astrological text,Q20378,,
Kaivalyopaniṣad,कैवल्योपनिषद्,,Upanishads,,,,Upanishads,Q27718
Kavikarpaṭīkā,कविकर्पटीका,,,,,,,
Brahmanāmāvalīstotra,ब्रह्मनामावलीस्तोत्र,,,,Stotras,Q76780,,
Pañcīkaraṇavārttika,पञ्चीकरणवार्त्तिक,,,,Philosophical text,Q5996,,
Halaṣaṣṭivratakathā,हलषष्टिव्रतकथा,,Puranas,,,,Puranas,Q27588
Lakṣmīsūktabhāṣya,लक्ष्मीसूक्तभाष्य,,,,,,,
Śiśupālavadha,शिशुपालवध,,,,Śiśupālavadha,Q27800,,
Rasamañjarī,रसमञ्जरी,,,,,,,
Four tīrthaṅkaras,,,,,,,,
Vaidyajīvana,वैद्यजीवन,,,,,,,
Hanumatkavacastotra,हनुमत्कवचस्तोत्र,,Puranas,,,,Puranas,Q27588
Hastagaurīvrata,हस्तगौरीव्रत,,Puranas,,,,Puranas,Q27588
Daśaharāstotra,दशहरास्तोत्र,,Puranas,,,,Puranas,Q27588
Kojāgaravratakathāpūjā,कोजागरव्रतकथापूजा,,,,,,,
Prabodhasudhākara,प्रबोधसुधाकर,,,,,,,
Āśaucatriṃśacchlokī,आशौचत्रिंशच्छ्लोकी,,Ṣaḍaśīti,,,,Ṣaḍaśīti,Q27653
Śivavarmakathana,शिववर्मकथन,,Puranas,,,,Puranas,Q27588
Pratyaṅgirākalpa,,,,,,,,
Pavitreṣṭi,पवित्रेष्टि,,Pavitreṣṭi,,,,Pavitreṣṭi,Q27736
Vyutpattivāda,व्युत्पत्तिवाद,,Gādādharī,,,,Gādādharī,Q27605
Somavāravrata,सोमवारव्रत,,Puranas,,,,Puranas,Q27588
Pañcīkaraṇa,पञ्चीकरण,,,,Pañcīkaraṇa,Q27608,,
Aṣṭottaraśata,अष्टोत्तरशत,,,,,,,
Śrutirahasya,श्रुतिरहस्य,,,,,,,
Śivānandalaharīstotra,शिवानन्दलहरीस्तोत्र,,,,Stotras,Q76780,,
Gāyatrījapanityavidhi,गायत्रीजपनित्यविधि,,,,,,,
Cāṇakyarājanītiśāstra,चाणक्यराजनीतिशास्त्र,,Cāṇakyanīti,,,,Cāṇakyanīti,Q27757
Rasaśāstra,रसशास्त्र,,,,Rasaśāstra,Q76793,,
Vidagdhamukhamaṇḍana,विदग्धमुखमण्डन,,,,Vidagdhamukhamaṇḍana,Q76794,,
Mahāvākyaratnāvalī,महावाक्यरत्नावली,,,,Philosophical text,Q5996,,
Vedakṛtabrahmastuti,वेदकृतब्रह्मस्तुति,,Puranas,पुराण,,,Puranas,Q27588
Gaṇeśastotra,गणेशस्तोत्र,,,,Stotras,Q76780,,
Paribhāṣāpradīpārcis,परिभाषाप्रदीपार्चिस्,,Paribhāṣāpradīpārci,,,,Paribhāṣāpradīpārci,Q27525
Maṅgalācaraṇa,मङ्गलाचरण,,,,Medical text,Q20372,,
Navarātravidhi,नवरात्रविधि,,,,Hindu ritual text,Q76765,,
Anantapūjāvidhi,अनन्तपूजाविधि,,,,Hindu ritual text,Q76765,,
Gaṅgāṣṭaka,गङ्गाष्टक,,,,,,,
Maitreyopaniṣad,मैत्रेयोपनिषद्,,,,Upanishads,Q27188,,
Ṛṇakṣayastotra,ऋणक्षयस्तोत्र,,Puranas,,,,Puranas,Q27588
Pañcāmṛtavidhi,,,,,,,,
Nīlakaṇṭhī,नीलकण्ठी,,,,Astronomical text;Medical text,Q38381;Q20372,,
Navagrahanyāsa,नवग्रहन्यास,,,,,,,
Nāradavākya saṃkṣepa,नारदवाक्य संक्षेप,,Rāmāyaṇa,,,,Ramayana,Q27562
Aṃśādīniravimandaphalāni,अंशादीनिरविमन्दफलानि,,,,Astronomical text,Q38381,,
Śvetāśvataropaniṣad,श्वेताश्वतरोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Caṇḍīstotraprayogavidhi,,,,,Stotras,Q76780,,
Mahāvākyaviveka,महावाक्यविवेक,,Pañcadaśī,,,,Pañcadaśī,Q27684
Aparādhasundarastotra,अपराधसुन्दरस्तोत्र,,,,Hindu prayer collection,Q76795,,
Jāgadīśī samānyalakṣaṇa,जागदीशी समान्यलक्षण,,,,Philosophical text,Q5996,,
Agniṣṭoma prayoga,अग्निष्टोम प्रयोग,,,,Hindu ritual text,Q76765,,
Sarvārthacintāmaṇi,सर्वार्थचिन्तामणि,,,,Astrological text,Q20378,,
Ṛṣipañcamīpūjā,ऋषिपञ्चमीपूजा,,,,Hindu ritual text,Q76765,,
Saurachanda,सौरछन्द,,,,Hymns,Q3715,,
Hetvābhāsa,हेत्वाभास,,Gādādharī,,,,Gādādharī,Q27605
Pratigrahayoga,प्रतिग्रहयोग,,,,,,,
Ṣaṭpañcāśikāṭīkā,षट्पञ्चाशिकाटीका,,,,Astrological text,Q20378,,
Paribhāṣenduśekhara,परिभाषेन्दुशेखर,,,,Grammatical text,Q6010,,
Śaktiyuktāyānanta,शक्तियुक्तायानन्त,,,,,,,
Grahaśantividhi,ग्रहशन्तिविधि,,,,Hindu ritual text,Q76765,,
Pretamañjarī,प्रेतमञ्जरी,,,,Hindu religious manual,Q76774,,
Āśvalāyana gr̥hyasūtram,,,Āśvalāyanagr̥hyasūtra,,,,Āśvalāyanagr̥hyasūtra,Q27709
Paddhatiratnaṭīkā,पद्धतिरत्नटीका,,,,Astrological text,Q20378,,
Cāturmāsyahautra,चातुर्मास्यहौत्र,,,,,,,
Tarkasaṃgraha,तर्कसंग्रह,,Tarkasaṅgraha,,,,Tarkasaṅgraha,Q27787
Dīpadāna,दीपदान,,,,,,,
Cāturmāsyavratanirṇaya,चातुर्मास्यव्रतनिर्णय,,Puranas,,,,Puranas,Q27588
Anusmṛti,अनुस्मृति,,Mahābhārata,,,,Mahabharata,Q27688
Dīpaprayogaratnākara,दीपप्रयोगरत्नाकर,,,,Hindu ritual text,Q76765,,
Ekādaśīnirṇaya,एकादशीनिर्णय,,,,,,,
Dānapratigrahaviveka,दानप्रतिग्रहविवेक,,,,,,,
Pañcakośaviveka,पञ्चकोशविवेक,,Pañcadaśī,,,,Pañcadaśī,Q27684
Līlāvatī,लीलावती,,,,Līlāvatī,Q27705,,
Nyāyamṛta,न्यायमृत,,,,,,,
Haritattvamuktāvalīsamākhyā,हरितत्त्वमुक्तावलीसमाख्या,,,,,,,
Agniṣṭomādisaptasaṁsthā,अग्निष्टोमादिसप्तसंस्था,,,,Hindu ritual text,Q76765,,
Laghumādhavīya,लघुमाधवीय,,,,,,,
Bhāṣāpariccheda,भाषापरिच्छेद,,,,Bhāṣāpariccheda,Q27837,,
Nṛpavilāsakāvya,नृपविलासकाव्य,,,,,,,
Gurugītā,गुरुगीता,,Gurugītā,,,,Gurugītā,Q27701
Vivaraṇatattvadīpaṇa,विवरणतत्त्वदीपण,,,,,,,
Gaṅgāmāhātma,गङ्गामाहात्म,,,,,,,
Veṅkaṭeśasahasranāmāvalī,वेङ्कटेशसहस्रनामावली,,,,,,,
Garbhopaniṣad,गर्भोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Laghuvākyavṛtti,लघुवाक्यवृत्ति,,,,Philosophical text,Q5996,,
Bhūtaśuddhi,,,Bhūtaśuddhiprāṇapratiṣṭhā,,,,Bhūtaśuddhiprāṇapratiṣṭhā,Q27583
Tvaritarudraviddhi,त्वरितरुद्रविधि,,,,Mantras,Q76777,,
Nyāyagrantha,न्यायग्रन्थ,,Tarkasaṅgrahadīpikāprakāśikā,,,,Tarkasaṅgrahadīpikāprakāśikā,Q27523
Aśokatrirātravrata,अशोकत्रिरात्रव्रत,,,,,,,
Tattvabodhinī,तत्त्वबोधिनी,,,,Grammatical text,Q6010,,
Vākyasudhā,वाक्यसुधा,,,,Philosophical text,Q5996,,
Kalpalatā,कल्पलता,,,,Astrological text,Q20378,,
Pauṇḍarīkaprayoga,पौण्डरीकप्रयोग,,,,Hindu ritual text,Q76765,,
Navagrahahomamahārudra,नवग्रहहोममहारुद्र,,,,Hindu ritual text,Q76765,,
Strīśūdratīrthavidhi,श्त्रीशूद्रतीर्थविधि,,,,Hindu religious manual,Q76774,,
Pinās ko mantra kathā,पिनास् को मन्त्र कथा,,,,,,,
Saundaryalaharīstotra,सौन्दर्यलहरीस्तोत्र,,Saundaryalaharī,,,,Saundaryalaharī,Q27544
Hiṅgulanāmalakṣaṇa,हिङ्हुलनामलक्षण,,,,,,,
Śrāddhavidhi,श्राद्धविधि,,,,,,,
Garbhagītā,गर्भगीता,,,,,,,
Samarasaṃgraha,समरसंग्रह,,,,,,,
Mahābhārata,महाभारत,,Mahābhārata,,,,Mahabharata,Q27688
Ādityahṛdayastotra,आदित्यहृदयस्तोत्र,,Puranas,,,,Puranas,Q27588
Āśvalāyanadarśapūrṇamāsahautraprayoga,आश्वलायनदर्शपूर्णमासहौत्रप्रयोग,,,,Hindu text,Q76770,,
Āśvalāyanasūtratātparyavyākhyā,आश्वलायनसूत्रतात्पर्यव्याख्या,,,,,,,
Durgāstotra,दुर्गास्तोत्र,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Nārāyaṇa atharva,नारायण अथर्व,,Upanishads,,,,Upanishads,Q27718
Nīlakaṇṭhīṭīkā,नीलकण्ठीटीका,,,,,,,
Śrīpatiṃbhaje 1.1.46,श्रीपतिंभजे १.१.४६,,,,,,,
Narapatijayacaryā,नरपतिजयचर्या,,,,,,,
Dvādaśabhāvavicāra,द्वादशभावविचार,,,,,,,
Vāmanasūkta,वामनसूक्त,,Vedas,,,,Vedas,Q27715
Dhātrīpūjana,धात्रीपूजन,,,,,,,
Siddhāntamuktāvalī,सिद्धान्तमुक्तावली,,,,Philosophical text,Q5996,,
Pratyaktatvaviveka,प्रत्यक्तत्वविवेक,,Pañcadaśī,,,,Pañcadaśī,Q27684
Baṭṭīśīvratakathā,बट्टीशीव्रतकथा,,Puranas,,,,Puranas,Q27588
Mahābhārataśāntiparvatṛtīyapaṭala,महाभारतशान्तिपर्वतृतीयपटल,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Śrāddhasaṃkalpa,श्राद्धसंकल्प,,,,Hindu ritual text,Q76765,,
Rāmāryāstava,रामार्यास्तव,,,,,,,
Laghukaumudī,लघुकौमुदी,,Laghusiddhāntakaumudī,,,,Laghusiddhāntakaumudī,Q27582
Ātmaṣaṭkabhāṣya,आत्मषट्कभाष्य,,,,Philosophical text,Q5996,,
Yajn̄opavītavidhi,यज्ञोपवीतविधि,,,,Hindu religious manual,Q76774,,
Prāmāṇyavāda,प्रामाण्यवाद,,,,Prāmāṇyavāda,Q76796,,
Vaijayantaya,,,,,Tantras,Q27776,,
Br̥hadāraṇyakopaniṣad,बृहदारण्यकोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Aitareyopaniṣad,ऐतरेयोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Budhāṣṭamīvrata,बुधाष्टमीव्रत,,Puranas,,,,Puranas,Q27588
Madhyasiddhāntakaumudī,मध्यसिद्धान्तकौमुदी,,,,Grammatical text,Q6010,,
Pañcabhūtaviveka,पञ्चभूतविवेक,,Pañcadaśī,,,,Pañcadaśī,Q27684
Hṛdaya,वरदगणेशसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Dhyānadīpa,ध्यानदीप,,Pañcadaśī,,,,Pañcadaśī,Q27684
Gaṇeśasūkta,,,Vedas,,,,Vedas,Q27715
Aitareyaṃ,ऐतरेयं,,Upanishads,,,,Upanishads,Q27718
Triveṇīstotra,त्रिवेणीस्तोत्र,,,,Stotras,Q76780,,
Lakṣmīsahasranāmastotra,लक्ष्मीसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Gaṇapati Aṣṭaśatanāmāvalī,,,,,,,,
Pratiyogikādhikaraṇahetu,প্রতিযোগিকাধিকরণহেতু,,,,Philosophical text,Q5996,,
Kaukilīkarman,कौकिलीकर्मन्,,,,Hindu ritual text,Q76765,,
Ratnatulāmahādānaprayoga,रत्नतुलामहादानप्रयोग,,,,Hindu religious manual,Q76774,,
Gītagovinda,गीतगोविन्द,,,,Gītagovinda,Q27554,,
Jyautiṣaviṣayakagrantha,ज्यौतिषविषयकग्रन्थ,,,,,,,
Amṛt sāgar grant,अमृत् सागर् ग्रन्थ्,,,,,,,
Dravyakiraṇāvalīprakāśa,द्रव्यकिरणावलीप्रकाश,,,,,,,
Ārṣarāmāyaṇa,आर्षरामायण,,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
Pali and Cambodian manuscript,,,,,,,,
Saṃkṣepaśārīraka,संक्षेपशारीरक,,Saṅkṣepaśārīraka,,,,Saṃkṣepaśārīraka,Q27619
Nirvāṇopaniṣad,निर्वाणोपनिषद्,,,,Upanishads,Q27188,,
Lomaśasaṃhitā,लोमशसंहिता,,,,,,,
Nārāyaṇahṛdayastotra,,,Atharvaṇarahasya,,,,Atharvaṇarahasya,Q27677
Maṅgalastotra,मङ्गलस्तोत्र,,Puranas,,,,Puranas,Q27588
Prāyaścittamañjarī,प्रायश्चित्तमञ्जरी,,,,,,,
Pañcamukhīhanumatkavaca,पञ्चमुखीहनुमत्कवच,,Tantras,,,,Tantras,Q27776
Śrāddhacandrikānukramaṇikā,श्राद्धचन्द्रिकानुक्रमणिका,,,,,,,
Magician's augury,,,,,Magical texts,Q38350,,
Gopadmakathāvrata,गोपद्मकथाव्रत,,Puranas,,,,Puranas,Q27588
Muktāvali,मुक्तावलि,,,,,,,
Kṛdantaprakriyā,कृदन्तप्रक्रिया,,Siddhāntakaumudī,,,,Siddhāntakaumudī,Q27632
Hastagaurīvratakathā,हस्तगौरीव्रतकथा,,Puranas,,,,Puranas,Q27588
Caṇḍīpāṭaprayoga,चण्डीपाटप्रयोग,,,,Hindu ritual text,Q76765,,
Nyāyasiddhāntamañjarī,न्यायसिद्धान्तमञ्जरी,,,,Nyāyasiddhāntamañjarī,Q76791,,
Śiśupālavadha,शिशुपालवध,,Śiśupālavadha,,,,Śiśupālavadha,Q27800
Sadācāraprakaraṇa,सदाचारप्रकरण,,,,,,,
Laguśabdenduśekhara,लगुशब्देन्दुशेखर,,,,,,,
Rāmacaritamānasa,रामचरितमानस,,,,Rāmacaritamānasa,Q27814,,
Atharvaśiropaniṣad,अथर्वशिरोपनिषद्,,,,Upanishads,Q27188,,
Ādhānaprayoga,आधानप्रयोग,,,,Hindu ritual text,Q76765,,
Gaurījātaka,गौरीजातक,,,,Astrological text,Q20378,,
Śārṅgadharaviracita paddhati,शाङ्र्गधरविरचित पद्धति,,,,,,,
