title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Mishneh Torah, Sefer ahavah, Hilkhot tefilah u-virkat kohanim, XIII, 14-XV, ; Hilkhot tefilin u-mezuzah ṿe-Sefer Torah, I, 6-VII",,Hilkhot tefilah u-virkat kohanim,,Hilkhot Tefillah,Q76043,,
Greeting note,,,,Notes,Q40007,,
"Halakhot, Ḥullin, pars. 849-853",,,,Hebrew text,Q75984,,
"Baḳashah, with Judeo-Arabic tranlation",,,,Hebrew text,Q75984,,
Part of the ʹArukh by Natan ben Jeḥiel of Rome,,ʹArukh,,ʹArukh,Q76597,,
Talisman,,,,Mystical texts,Q76087,,
Part of a collection of liturgical poems,,,,Liturgical poems,Q76594,,
"Naḥmanides' novellae on the Talmud, Gittin 25b-26a",,Ḥidushe ha-Ramban (Giṭin 25b-26a),,Novellas,Q38386,,
Part of Birkat ha-mazon with directions in Judeo-Arabic,,Grace after meals,,Prayer,Q20014,,
Fragment of a Bible,קטע מתורה,Bible,תורה,Bible,Q661,,
"Haggadah for Passover, probably belonging to a Palestinian rite ; Haftorah blessings ; Birkat ha-mazon",,Haggadah (Palestinian rite),,Haggadah,Q44103,,
Prayer book for the seven weeks,,,,Prayer book,Q1486,,
"Haftarot for Minḥah of Yom Kippur, First day of Sukkoth, with Masorah magna and parva",,Bible,,Haftarah,Q44119,,
KItāb al-Madāris /,,,,Aramaic text,Q76024,,
"Maḥazor, Yom Kipur",,Maḥzor,,Maḥzor,Q3712,,
"Ketubah; Plovdiv, Blugaria",כתובה,,,Ketubah,Q76000,,
Judeo-Arabic commentary on Psalms 105:21-24; Psalms 106:1-3,,,,Torah commentary,Q44107,,
Judeo-Arabic lexicon of the Bible,,,,Judeo-Arabic text,Q76595,,
"Azharah, strophes 15-19",,,,Azharah,Q75984,,
Horoscope,,,,Horoscope,Q39436,,
Essay on Psalms 8:1-3,,,,Commentary on Psalms,Q20442,,
Court memo,,,,Memorandum,Q20486,,
Dialectic poem debating between Sabbath and circumcision,,,,Text on circumcision,Q75990,,
Booksellers account,,,,Accounts,Q7851,,
Commentary on Ecclesiastes 2:8-21,,,,Torah commentary,Q44107,,
"Marriage contract of Saʹidah daughter of Saʹid al Ḥatrushi, a Virgin",,,,Ketubah,Q76000,,
"Mishneh Torah, Sefer Ahavah, Hilkhot tefilah, part XII, 20-24",,Hilkhot tefilah,,Hilkhot Tefillah,Q76043,,
Bill of divorce,,,,Get,Q76048,,
"Letter, 1769 January 12, Berlin to David Berlin","מכתב, ד' שבט תקכ""ט, בערלין אל דוד בערלין",,,Letter,Q1454,,
Hartmannswiller Pinkas,פנקס הארטמאנסווילער,,,Pinkas,Q76009,,
Dirge,,Kinot,,Lamentations,Q75996,,
Letter to Samuel Laniado,,,,Letter,Q1454,,
Ibn Ezra's commentary on Genesis 8:5-21; Genesis XI:28-XII-8,,Perush ha-Torah,,Torah commentary,Q44107,,
Collection of prayers and dirges for the dead,,,,Lamentations,Q75996,,
Gaonic responsum on the sale of preserves with leaven contents after Passover,,,,Responsa,Q75989,,
"Haggadah, end portion, Erets-Yiśraʾel rite",,Hallel,,Haggadah,Q44103,,
Ḥeshbon mahalkhot ha-kokhavim,,,,,,Ḥeshbon mahalkhot ha-kokhavim,Q3713
Università di Padova doctoral diploma for Gershon Cantarini,,,,Diploma,Q8395,,
"Letter, 1769 September 14, Danzig to David Berlin","מכתב, י""ב אלול תקכ""ט, דאנציג אל דוד בערלין",,,Letter,Q1454,,
"Talmud Yerushalmi, Zeraʻim, Demai 2:1; 2:2-3",,Talmud Yerushalmi,,Talmudic text,Q76002,,
