holding_institution,shelfmark,url
kansas,MS E15,https://archive.org/details/MSE15_30
kansas,MS E16,https://archive.org/details/MSE16_30
kansas,MS E17,https://archive.org/details/MSE17_30
kansas,MS E18,https://archive.org/details/MSE18_30
kansas,MS E20,https://archive.org/details/MSE20_30
kansas,MS E22,https://archive.org/details/MSE22_30
kansas,MS E232,https://archive.org/details/MSE232_30
kansas,MS E256,https://archive.org/details/MSE256_30
kansas,MS E34,https://archive.org/details/MSE34_30
kansas,MS E35,https://archive.org/details/MSE35_30
kansas,MS E36,https://archive.org/details/MSE36_30
kansas,MS E71,https://archive.org/details/MSE71_30
kansas,MS E77,https://archive.org/details/MSE77_30
kansas,MS E89,https://archive.org/details/MSE89_30
kansas,MS E91,https://archive.org/details/MSE91_30
kansas,MS G18,https://archive.org/details/MSG18_30
kansas,MS G1,https://archive.org/details/MSG1_30
kansas,MS G50,https://archive.org/details/MSG50_30
kansas,MS J6:1:1,https://archive.org/details/MSJ611_30
kansas,MS J6:1:2,https://archive.org/details/MSJ612_30
kansas,MS J6:2,https://archive.org/details/MSJ62_30
kansas,MS J6:3:A1,https://archive.org/details/MSJ63A1_30
kansas,MS J6:3:A2,https://archive.org/details/MSJ63A2_30
kansas,MS J6:3:A3,https://archive.org/details/MSJ63A3_30
kansas,MS J6:3:A4,https://archive.org/details/MSJ63A4_30
kansas,MS J6:3:A5,https://archive.org/details/MSJ63A5_30
kansas,MS J6:3:B1,https://archive.org/details/MSJ63B1_30
kansas,MS J6:3:B2,https://archive.org/details/MSJ63B2_30
kansas,MS J6:3:B3,https://archive.org/details/MSJ63B3_30
kansas,MS J6:3:B4,https://archive.org/details/MSJ63B4_30
kansas,MS P368,https://archive.org/details/MSP368_30
kansas,MS P474,https://archive.org/details/MSP474_30
kansas,MS P489,https://archive.org/details/MSP489_30
kansas,MS P493:1,https://archive.org/details/MSP4931_30
kansas,MS P571,https://archive.org/details/MSP571_30
kansas,MS P579,https://archive.org/details/MSP579_30
kansas,Pryce MS C1,https://archive.org/details/PryceMSC1_30
kansas,Pryce MS C2:1 (formerly Y 103),https://archive.org/details/PryceMSC21formerlyY103_30
kansas,Pryce MS C2:2 (formerly Y 104),https://archive.org/details/PryceMSC22formerlyY104_30
kansas,Pryce MS P2A:1,https://archive.org/details/PryceMSP2A1_30
kansas,Pryce MS P4,https://archive.org/details/PryceMSP4_30
nelsonatkins,KG 01,https://archive.org/details/KG01_46
nelsonatkins,KG 02,https://archive.org/details/KG02_46
nelsonatkins,KG 03,https://archive.org/details/KG03_46
nelsonatkins,KG 04,https://archive.org/details/KG04_46
nelsonatkins,KG 05,https://archive.org/details/KG05_46
nelsonatkins,KG 06,https://archive.org/details/KG06_46
nelsonatkins,KG 07,https://archive.org/details/KG07_46
nelsonatkins,KG 08,https://archive.org/details/KG08_46
nelsonatkins,KG 09,https://archive.org/details/KG09_46
nelsonatkins,KG 10,https://archive.org/details/KG10_46
nelsonatkins,KG 13,https://archive.org/details/KG13_46
nelsonatkins,KG 14,https://archive.org/details/KG14_46
nelsonatkins,KG 15,https://archive.org/details/KG15_46
nelsonatkins,KG 18,https://archive.org/details/KG18_46
nelsonatkins,KG 19,https://archive.org/details/KG19_46
nelsonatkins,KG 20,https://archive.org/details/KG20_46
nelsonatkins,KG 21,https://archive.org/details/KG21_46
nelsonatkins,KG 22,https://archive.org/details/KG22_46
nelsonatkins,KG 23,https://archive.org/details/KG23_46
nelsonatkins,KG 24,https://archive.org/details/KG24_46
nelsonatkins,KG 25,https://archive.org/details/KG25_46
nelsonatkins,KG 26 (LEV a),https://archive.org/details/KG26LEVa_46
nelsonatkins,KG 27 (LEV b),https://archive.org/details/KG27LEVb_46
nelsonatkins,KG 28 (LEV c),https://archive.org/details/KG28LEVc_46
nelsonatkins,KG 29 (LEV d),https://archive.org/details/KG29LEVd_46
nelsonatkins,KG 30 (LEV e),https://archive.org/details/KG30LEVe_46
nelsonatkins,KG 32,https://archive.org/details/KG32_46
nelsonatkins,KG 33,https://archive.org/details/KG33_46
nelsonatkins,KG 34,https://archive.org/details/KG34_46
nelsonatkins,KG 35,https://archive.org/details/KG35_46
nelsonatkins,KG 36,https://archive.org/details/KG36_46
nelsonatkins,KG 38,https://archive.org/details/KG38_46
nelsonatkins,KG 39,https://archive.org/details/KG39_46
nelsonatkins,KG 40,https://archive.org/details/KG40_46
nelsonatkins,KG 43,https://archive.org/details/KG43_46
nyu,Fragment 023,https://archive.org/details/Fragment023_25
nyu,Fragment 031,https://archive.org/details/Fragment031_25
nyu,Fragment 040,https://archive.org/details/Fragment040_25
nyu,Fragment 048,https://archive.org/details/Fragment048_25
nyu,Fragment 049,https://archive.org/details/Fragment049_25
