name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Bonvesino, Marco",former owner,,,,,,,,,,,
"Vimercati Sozzi, Paolo, 1801-1883",former owner,,http://id.loc.gov/authorities/names/no2017163771,,,,,,human,Paolo Vimercati Sozzi,Q65010835,Q7653
"Lea, Henry Charles, 1825-1909",former owner,,http://id.loc.gov/authorities/names/n50041341,,,,,,human,Henry Charles Lea,Q325867,Q3816
"Petrarca, Francesco, 1304-1374",author,,,,,,,,human,Petrarch,Q1401,Q16486
"Foresi, Bastiano, 1424-1488",scribe,,,,,,,,human,Bastiano Foresi,Q18945082,Q16586
"Sigebert, of Gembloux, approximately 1030-1112",author,,,human,Sigebert of Gembloux,Q670819,DSNAME5223,Q41668,,,,
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,نظامى گنجوى، 1140 یا 1141-1202 یا 1203,,,,,,,human,Nizami Ganjavi,Q234908,Q16480
"Shāfiʻī, Shams al-Dīn",author,شافعي، شمس الدين,,,,,,,human,Shams al-Dīn Shāfiʻī,Q114242501,Q41654
"Williams, Talcott, 1849-1928",former owner,,,,,,,,human,Talcott Williams,Q7679087,Q41864
"Escouchy, Mathieu d', 1420-",author,,,human,Mathieu d'Escouchy,Q3080641,DSNAME9212,Q110790,,,,
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286?",author,بيضاوي، عبد الله بن عمر، -1286?,,,,,,,human,Al-Baydawi,Q287573,Q12426
"Damīrī, Bahrām ibn ʻAbd Allāh, 1333 or 1334-1402 or 1403",author,دميري، بهرام بن عبد الله، 1333 أو 1334-1402 أو 1403,,human,Bahrām ibn ʻAbd Allāh Damīrī,Q138772687,DSNAME9213,Q110791,,,,
"Daljamūnī, Nūr al-Dīn ibn Aḥmad ibn Shihāb al-Dīn al-Ḥūfī",scribe,دلجموني، نور الدين بن احمد بن شهاب الدين الحوفي,,,,,,,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,عاملي، بهاء الدين محمد بن حسين، 1547-1621,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
Ruhbānī,scribe,رهبانى،,,,,,,,,,,
"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?",author,تفتازاني، مسعود بن عمر، 1322-1389؟,,,,,,,human,Taftazani,Q764947,Q12298
"Qasṭallānī, Aḥmad ibn Muḥammad, 1447 or 1448-1517 or 1518",author,قسطلاني، احمد بن محمد، 1447 أو 1448-1517 أو 1518,,,,,,,human,Al-Qastallani,Q2829271,Q12333
"Ashkenazi, Malkiel, -approximately 1620",author,,,,,,,,,,,
"Ibn al-Ḥājib, ʻUthmān ibn ʻUmar, 1175-1249",author,ابن الحاجب، عثمان بن عمر، 1175-1249,,,,,,,human,Ibn al-Ḥājib,Q6533412,Q12364
"Shirwānī, Muḥammad al-Amīn ibn Ṣadr al-Dīn, -1626 or 1627",author,شرواني، محمد الامين بن صدر الدين، -1626 أو 1627,,,,,,,human,Sadreddinzade Şirvani,Q12842271,Q41661
"Abū Makhramah, al-Ṭayyib ibn ʻAbd Allāh, 1465-1540",author,ابو مخرمة، الطيب بن عبد الله، 1465-1540,,human,ʿAbdallāh aṭ-Ṭaiyib Ibn-ʿAbdallāh Abū-Maḫrama,Q20413176,DSNAME9214,Q110792,,,,
"Radʻānī, Salīm Bilqīs",scribe,ردعاني، سليم بلقيس،,,,,,,,,,,
"Muḥammad Ḥusayn, active 1829",former owner,محمد حسين، active 1829،,,,,,,,,,,
"Marghīnānī, ʻAlī ibn Abī Bakr, -1196 or 1197",author,مرغيناني، علي بن ابي بكر، -1196 او 1197,,,,,,,human,Burhan al-Din al-Murghinani,Q4998760,Q3793
