title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Manṭiq min kalām al-Shaykh al-imām al-ʻallāmah shaykh al-Islām Burhān al-Dīn al-Fazārī mattaʻa Allāh al-muslimīn bi-baqāʼihi wa-huwa al-manṭiq alladhī ʻamalahu ʻalá manṭiq Ibn al-Ḥājib fī al-Mukhtaṣar,منطق من كلام الشيخ الامام العلامة شيخ الاسلام برهان الدين الفزاري متع الله المسلين ببقائه وهو المنطق الذي عمله على منطق ابن الحاجب في المختصر,,,,,,
Kashf al-jilbāb fī ʻilm al-ḥisāb,كشف الجلباب في علم الحساب,,,,,,
Sharḥ Īsāghūjī,,,,Sharḥ Īsāghūjī,Q11905,,
Jawāhir al-lughah,,Baḥr al-jawāhir,,Jawāhir al-lughah,Q108589,,
Jawāhir al-lughah,,,,Jawāhir al-lughah,Q108589,,
Muʻlam ʻalá ḥurūf al-muʻjam ... [etc,معلم على حروف المعجم ... الخ,,,,,,
Murshidat al-ṭālib ilá asná al-maṭālib ... [etc,مرشدة الطالب الى اسنى المطالب ... الخ,,,,,,
Talkhīṣ al-bayān fī ʻalāmāt al-Mahdī ākhir al-zamān ... [etc,تلخيص البيان في علامات المهدي آخر الزمان ... الخ,,,,,,
Bayān tafsīr āyāt jalīlah ... [etc,بيان تفسير آيات جليلة ... الخ,,,,,,
Ḥāshiyat Qūl Aḥmad ... [etc,حاشية قول احمد ... الخ,,,Ḥāshiyat Qūl Aḥmad,Q108597,,
Kitāb Sharḥ Ādāb mā yatakarraru fī al-yawm wa-al-laylah /,كتاب شرح آداب ما يتكرر في اليوم والليلة /,Sharḥ Ādāb mā yatakarraru fī al-yawm wa-al-laylah,,,,,
al-Sharḥ,الشرح,Sharḥ al-Yāsamīnīyah,شرح الياسمينية,Sharḥ al-Yāsamīnīyah,Q108605,,
Kitāb laṭīf mukhtaṣar li-sharḥ al-Yāsamīnīyah fī al-jabr /,كتاب لطيف مختصر لشرح الياسمينية في الجبر /,Sharḥ al-Yāsamīnīyah,شرح الياسمينية,Sharḥ al-Yāsamīnīyah,Q108605,,
Sharḥ al-Yāsamīnīyah,شرح الياسمينية,,,Sharḥ al-Yāsamīnīyah,Q108605,,
Kitāb al-Mughnī fī al-ṭibb /,كتاب المغني في الطب /,Mughnī fī tadbīr al-amrāḍ wa-maʻrifat al-ʻilal wa-al-aʻrāḍ,مغني في تدبير الامراض ومعرفة العلل والاعراض,,,,
Majmūʻ fī al-falak,مجموع في الفلك,,,,,,
Collection of texts on occult sciences,,,,Occult texts,Q55147,,
Hāshiyah-i Maṭāliʻ /,هاشيه مطالع /,,,,,,
Kitāb Taḥrīr Uqlīdis /,كتاب تحرير اقليدس /,,,Kitab tahrir usul li-Uqlidus,Q108608,,
Hidāyat al-sāʾil ilá maʻrifat al-rubʻ al-kāmil,هداية السائل الى معرفة الربع الكامل,,,,,,
Kitāb al-asbāb wa-al-ʻalāmāt,كتاب الاسباب والعلامات,Asbāb wa-al-ʻalāmāt,اسباب والعلامات,Sharḥ al-Asbāb wa-al-ʻalāmāt,Q108601,,
Ḥāshiyah ʻalá Īsāghūjī fī al-manṭiq,حاشية على ايساغوجي في المنطق,,,,,,
Jawhar al-jawāhir wa-durrat al-mufākhir,جوهر الجواهر ودرة المفاخر,,,,,,
Īsāghūjī,,,,Īsāghūjī,Q55036,,
Ḥāshiyah ʻalá sharḥ Ḥusām al-Kātī,,,,Ḥāshiyah ʻalá sharḥ Ḥusām al-Kātī,Q54549,,
ḥāshiyat Qūl Aḥmad,,,,Ḥāshiyat Qūl Aḥmad,Q108597,,
Jalāʼ al-anẓār fī ḥall ʻawīṣāt al-afkār,,,,,,,
Risālat jihat al-waḥdah,,,,,,,
al-Farāʼid al-ḥasanīyah bi-ḥall al-fawāʼid al-Abharīyah,,,,,,,
Sharḥ Isāghūjī,,,,Sharḥ Īsāghūjī,Q11905,,
al-Risālah al-Shamsīyah fī al-qawāʻid al-manṭiqīyah,,,,,,,
Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,,Sharḥ Shamsīyah,,Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,Q108587,,
ḥāshiyah ʻalá sharḥ Quṭb al-Dīn,,,,,,,
ḥawāshin ʻalá ḥawāshī Sharḥ al-Shamsīyah,,,,,,,
ḥāshiyat al-ʻAjamī,,,,,,,
Majmūʻah fī al-ṭibb /,مجموعة في الطب /,,,,,,
Glosses on al-Shirwānī's commentary on Samarqandī's Risālah fī ādāb al-baḥth,,,,,,,
Kitāb Unmūdhaj al-ʻulūm] ... [etc.,,,,,,,
Kitāb Kāmil al-ṣināʻah al-ṭibbīyah al-maʻrūf bi-al-Malakī /,كتاب كامل الصناعة الطبية المعروف بالملكي /,Kāmil al-ṣināʻah al-ṭibbīyah,كامل الصناعة الطبية,Complete Book of the Medical Art,Q76612,,
Sharḥ al-Mulakhkhaṣ fī al-hayʼah,شرح الملخص في الهيئة,,,Sharḥ al-Mulakhkhaṣ fī al-hayʼah,Q108586,,
al-Tuḥfah al-shāhīyah fī al-hayʼah,التحفة الشاهية في الهيئة,,,,,,
Kitāb al-Mulakhkhaṣ fī al-hayʼah / taʼlīf al-Shaykh al-imām al-ʻālim al-ʻallāmah Maḥmūd ibn Muḥammad ibn ʻUmar al-Jighmīnī,كتاب الملخص في الهيئة / تأليف الشيخ الامام العالم العلامة محمود بن محمد بن عمر الجغميني,Mulakhkhaṣ fī al-hayʼah,ملخص في الهيئة,Mulakhkhaṣ fī al-hayʼah,Q3146,,
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة,,,,,Mulahhas fī al-Hay'a,Q75941
Kitāb al-Tadhkirah fī ʻilm al-hayʼah,كتاب التذكرة في علم الهيئة,Tadhkirah fī ʻilm al-hayʼah,تذكرة في علم الهيئة,,,,
Tawḍīḥ al-tadhkirah al-Naṣīrīyah /,توضيح التذكرة النصيرية /,,,,,,
Tawḍīḥ al-Tadhkirah,توضيح التذكرة,,,,,,
Ṣuwar al-kawākib,صور الكواكب,,,Ṣuwar al-kawākib,Q27656,,
