title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Song ren shi you jing hua; er shi si juan /,,宋人詩囿精華,,,Song ren shi you jing hua,Q39798,,
Sangoku tsūran yochi rotei zenzu /,,三国 通覧 輿地 路程 全図 /,,,,,Sangoku tsūran yochi rotei zenzu,Q12734
Shokoku kinginzan shikiguchi yotsudome narabini shokoya shodōgu naigai no zu,,諸国金銀山鋪口四ツ留並諸小屋諸道具内外之図,,,,,Shokoku kinginzan shikiguchi yotsudome narabini shokoya shodōgu naigai no zu,Q12779
Kitāb Nubdhah /,,كتاب نبذة /,Dafʻ al-shakk wa-al-mayn fī taḥrīr al-fannayn,دفع الشك والمين فى تحرير الفنين,,,Dafʻ al-shakk wa-al-mayn fī taḥrīr al-fannayn,Q12080
Kitāb Qalāyid al-nuḥūr min jawāhir al-buḥūr /,,كتاب قلايد النحور من جواهر البحور /,Qalāyid al-nuḥūr min jawāhir al-buḥūr,قلايد النحور من جواهر البحور,,,Qalāyid al-nuḥūr min jawāhir al-buḥūr,Q11983
Hādhā Sharḥ laṭīf ʻalá Manẓūmat al-ʻAllāmah al-Shabrāmallisī fī ʻilm al-ʻarūḍ /,Arabic texts,هذا شرح لطيف على منظومة العلامة الشبراملسي في علم العروض /,Kashf al-ghumūḍ bi-fahm al-Rajaz al-mafrūḍ fī ʻilm mā yuqṣadu min al-ʻarūḍ,کشف الغموض بفهم الرجز المفروض في علم ما يقصد من العروض,Arabic texts,Q12258,,
Hādhā Kitāb al-ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻah funūn al-adabīyah /,,هذا كتاب العقيدة الدرويشية في تحرير السبعة فنون الادبية /,ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn al-adabīyah,عقيدة الدرويشية في تحرير السبع فنون الادبية,ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn al-adabīyah,Q12064,,
Kitāb yusammá al-ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn al-adabīyah /,,كتاب يسمى العقيدة الدرويشية في تحرير السبع فنون الادبية /,ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn al-adabīyah,عقيدة الدرويشية في تحرير السبع فنون الادبية,,,ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn al-adabīyah,Q12064
Talkhīṣ al-Miftāḥ,,تلخيص المفتاح,,,,,Talkhīṣ al-Miftāḥ,Q12067
Kitāb Maʻāhid al-tanṣīṣ sharḥ abyāt al-Talkhīṣ /,,كتاب معاهد التنصيص شرح ابيات التلخيص /,Maʻāhid al-tanṣīṣ ʻalá shawāhid al-Talkhīṣ,معاهد التنصيص على شواهد التلخيص,,,Maʻāhid al-tanṣīṣ ʻalá shawāhid al-Talkhīṣ,Q11874
al-Intiṣār,,الانتصار,,,,,Intiṣār,Q12168
al-Muṭawwal,,المطول,,,,,Muṭawwal,Q11858
Kitāb Muṭawwal,,كتاب مطول,Muṭawwal,مطول,,,Muṭawwal,Q11858
Muṭawwal,,مطول,,,,,Muṭawwal,Q11858
Muṭawwal min al-maʻānī,,مطول من المعاني,Muṭawwal,مطول,,,Muṭawwal,Q11858
Sayyid ʻalá al-Muṭawwal,,سيد على المطول,Ḥāshiyah ʻalá al-Muṭawwal,حاشية على المطول,,,Ḥāshiyah ʻalá al-Muṭawwal,Q11681
Sālikūtī ʻalá al-Muṭawwal,,سالكوتى على المطول,Ḥāshiyah ʻalá al-Muṭawwal,حاشية على المطول,,,Ḥāshiyah ʻalá al-Muṭawwal,Q11681
Ḥāshiyat al-ʻAllāmah ʻAbd al-Ḥalīm al-Hindī al-shahīr bi-Siyālkūtī ʻalá al-Muṭawwal,,حاشية العلامة عبد الحليم الهندي الشهير بسيالكوتي على المطول,Ḥāshiyah ʻalá al-Muṭawwal,حاشية على المطول,,,Ḥāshiyah,Q11900
Mukhtaṣar al-maʻānī,,مختصر المعاني,,,,,Mukhtaṣar al-maʻānī,Q11740
Ḥāshiyah ʻalá al-Mukhtaṣar,,حاشية على المختصر,,,,,Ḥāshiyah,Q11900
Ḥāshiyat Mīrzā Jān ʻalá Ḥāshiyat al-Khiṭāʼī ʻalá al-Mukhtaṣar al-maʻānī,,حاشية ميرزا جان على حاشية الخطائي على المختصر المعاني,Ḥāshiyah ʻalá ḥāshiyat al-Khiṭāʼī ʻalá al-Mukhtaṣar,حاشية على حاشية الخطائي على المختصر,,,Ḥāshiyah,Q11900
Ḥāshiyat al-ʻAllāmah al-Imām Aḥmad ibn Qāsim al-ʻAbbādī ʻalá Sharḥ Talkhīṣ al-miftāḥ li-Saʻd al-Dīn al-Taftāzānī,,حاشية العلامة الامام احمد بن قاسم العبادي على شرح تلخيص المفتاح لسعد الدين التفتازاني,Ḥāshiyah ʻalá al-Sharḥ al-mukhtaṣar,حاشية على الشرح المختصر,,,Ḥāshiyah,Q11900
Sharḥ shawāhid al-Muṭawwal wa-al-Mukhtaṣar] ... [etc.,,شرح شواهد المطول والمختصر ... الخ,,,Sharḥ shawāhid al-Muṭawwal wa-al-Mukhtaṣar,Q12045,,
Sharḥ abyāt lil-Mulakhkhaṣ min ʻilm al-bayān,,شرح ابيات للملخص من علم البيان,,,,,Sharḥ abyāt lil-Mulakhkhaṣ min ʻilm al-bayān,Q11835
Kitāb al-Shifāʼī bi-badīʻ al-iktifā /,,كتاب الشفائي ببديع الاكتفا /,Shifāʼ fī badīʻ al-iktifāʼ,شفاء في بديع الاکتفاء,,,Shifāʼ,Q11730
Istiʻārat Muftīʹzādah,,استعارة مفتي‌زادة,Muftīʹzādah ʻalá Istiʻārāt al-ʻIṣām,مفتي‌زادة على استعارات العصام,,,Muftīʹzādah ʻalá Istiʻārāt al-ʻIṣām,Q11707
al-Munaqqaḥāt al-mashrūḥah,,المنقحات المشروحة,,,,,Munaqqaḥāt al-mashrūḥah,Q11876
Hādhā Kitāb Munaqqaḥāt,,هذا كتاب منقحات,Munaqqaḥāt al-mashrūḥah,منقحات المشروحة,,,Munaqqaḥāt al-mashrūḥah,Q11876
Kitāb Sharḥ Badīʻīyah ... [etc.,,كتاب شرح بديعية ... الخ,,,Sharḥ Badīʻīyah,Q11878,,
Badīʻīyah /,,بديعية /,,,,,Badīʻīyah,Q12225
Badīʻīyah,,بديعية,,,,,Badīʻīyah,Q12225
Hādhā Sharḥ al-Badīʻīyah al-Bāʻūnīyah,,هذا شرح البديعية الباعونية,Fatḥ al-mubīn fī madḥ al-Amīn,فتح المبين في مدح الامين,,,,
Hādhā Ḥusn al-ṣanīʻ bi-sharḥ Nūr al-badīʻ,Arabic texts,هذا حسن الصنيع بشرح نور البديع,Ḥusn al-ṣanīʻ bi-sharḥ Nūr al-badīʻ,حسن الصنيع بشرح نور البديع,Arabic texts,Q12258,,
Hādhihi Badīʻīyat ʻAlī Ṣadr al-Dīn ibn Aḥmad Niẓām al-Dīn al-Ḥusaynī [al-Ḥasanī] al-Madanī,,هذه بديعية علي صدر الدين بن احمد نظام الدين الحسيني الحسني المدني,Anwār al-rabīʻ fī anwāʻ al-badīʻ,انوار الربيع في انواع البديع,Anwār al-rabīʻ fī anwāʻ al-badīʻ,Q12131,,
al-Ḥadhāqah fī anwāʻ al-ʻalāqah /,,الحذاقة في انواع العلاقة,,,,,Ḥadhāqah fī anwāʻ al-ʻalāqah,Q12023
Hādhā al-Kitāb Dhikr mulūk Ḥimyar /,History of the Kings of Himyar,هذا الكتاب ذكر ملوك حمير /,Qaṣīdah al-Ḥimyarīyah,قصيدة الحميرية,History of the Kings of Himyar,Q68189,,
Kitāb Muthīr al-gharām ilá ziyārat al-Quds wa-al-Shām,,كتاب مثير الغرام الى زيارة القدس والشام,Muthīr al-gharām ilá ziyārat al-Quds wa-al-Shām,مثير الغرام الى زيارة القدس والشام,,,Muthīr al-gharām ilá ziyārat al-Quds wa-al-Shām,Q12240
Kitāb al-ʻibar wa-dīwān al-mubtadá wa-al-khabar fī ayyām al-ʻArab wa-al-ʻAjam wa-al-Barbar,,کتاب العبر وديوان المبتدا والخبر في ايام العرب والعجم والبربر,Kitāb al-ʻibar,كتاب العبر,,,Kitab al-Ibar,Q11890
Kitāb al-Mawāʻiẓ wa-al-iʻtibār bi-dhikr al-khiṭaṭ wa-al-āthār,,کتاب المواعظ والاعتبار بذکر الخطط والاثار,Mawāʻiẓ wa-al-iʻtibār bi-dhikr al-khiṭaṭ wa-al-āthār,مواعظ والاعتبار بذكر الخطط والآثار,,,Mawāʻiẓ wa-al-iʻtibār bi-dhikr al-khiṭaṭ wa-al-āthār,Q11773
Kitāb al-Wasāyil ilá maʻrifat al-Awāyil /,,كتاب الوسايل الى معرفة الاوايل /,Wasāʼil ilá maʻrifat al-Awāʼil,وسائل الى معرفة الاوائل,,,Wasāʼil ilá maʻrifat al-Awāʼil,Q12190
Kitāb al-Wasāyil fī maʻrifat al-Awāyil /,,كتاب الوسايل في معرفة الاوايل /,Wasāʼil ilá maʻrifat al-Awāʼil,وسائل الى معرفة الاوائل,,,Wasāʼil ilá maʻrifat al-Awāʼil,Q12190
Kitāb Kawkab al-Rawḍah /,,كتاب كوكب الروضة /,Kawkab al-Rawḍah,كوكب الروضة,,,Kawkab al-Rawḍah,Q11675
Hādhihi Risālat Nūr al-ʻayn fī dhikr mashhad al-Sayyid al-Ḥusayn /,,هذه رسالة نور العين في ذكر مشهد السيد الحسين /,Nūr al-ʻayn fī dhikr mashhad al-Ḥusayn,نور العين في ذکر مشهد الحسين,,,Risālah,Q12161
Kitāb Nuzʹhat al-nāẓirīn fī tārīkh man waliya Miṣr min al-khulafāʼ wa-al-salāṭīn /,,كتاب نزهة الناظرين في تاريخ من ولى مصر من الخلفاء والسلاطين /,Nuzʹhat al-nāẓirīn fī tārīkh man waliya Miṣr min al-khulafāʼ wa-al-salāṭīn,نزهة الناظرين في تاريخ من ولى مصر من الخلفاء والسلاطين,,,Nuzʹhat al-nāẓirīn fī tārīkh man waliya Miṣr min al-khulafāʼ wa-al-salāṭīn,Q12127
Nisbah sharīfah wa-risālah munīfah tashtamilu ʻalá dhikr nasab al-Jarākisah min Quraysh,,نسبة شريفة ورسالة منيفة تشتمل على ذکر نسب الجراکسة من قريش,,,,,Nisbah sharīfah wa-risālah munīfah tashtamilu ʻalá dhikr nasab al-Jarākisah min Quraysh,Q11769
Sharḥ ḥadīth fī-faḍl al-Rūm,,,,,,,Sharḥ ḥadīth fī-faḍl al-Rūm,Q11946
al-Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah,,الفتوحات الربانية في هزيمة الفرنساوية,,,,,Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah,Q12025
Maẓhar al-taqdīs bi-dhahāb dawlat al-Faransīs /,,مظهر التقديس بذهاب دولة الفرنسيس /,Maẓhar al-taqdīs bi-zawāl Dawlat al-Faransīs,مظهر التقديس بزوال دولة الفرنسيس,,,Maẓhar al-taqdīs bi-zawāl Dawlat al-Faransīs,Q12121
Kitāb al-Durr al-manẓūm fī-mā warada fī Miṣr min mawjūd wa-maʻdūm /,,کتاب الدر المنظوم فيما ورد في مصر من موجود ومعدوم,Durr al-manẓūm fī-mā warada fī Miṣr min mawjūd wa-maʻdūm,در المنظوم فيما ورد في مصر من موجود ومعدوم,,,Durr al-manẓūm fī-mā warada fī Miṣr min mawjūd wa-maʻdūm,Q11927
Hādhā Ṣafwat al-zamān fīman tawallá ʻalá Miṣr min amīr wa-sulṭān /,History of Egypt,هذا صفوة الزمان فيمن تولى على مصر من امير وسلطان /,Ṣafwat al-zamān fīman tawallá ʻalá Miṣr min amīr wa-sulṭān,صفوة الزمان فيمن تولى على مصر من امير وسلطان,History of Egypt,Q68190,,
Kitāb Tuḥfat al-jalīl fī akhbār Miṣr wa-al-Nīl /,,كتاب تحفة الجليل في اخبار مصر والنيل /,Tuḥfat al-jalīl fī akhbār Miṣr wa-al-Nīl,تحفة الجليل في اخبار مصر والنيل,,,Tuḥfat al-jalīl fī akhbār Miṣr wa-al-Nīl,Q11967
Kawkab al-Rawḍah,,كوكب الروضة,,,,,Kawkab al-Rawḍah,Q11675
Hādhā Tārīkh ḥiṣār al-Ifranj li-ʻAkkah al-maḥrūsah wa-ḥuṣūl al-naṣr ʻalayhim /,,هذا تاريخ حصار الافرنج لعكة المحروسة وحصول النصر عليهم /,Tārīkh ḥiṣār al-Ifranj li-ʻAkkah al-maḥrūsah wa-ḥuṣūl al-naṣr ʻalayhim,تاريخ حصار الافرنج لعکة المحروسة وحصول النصر عليهم,,,Tārīkh ḥiṣār al-Ifranj li-ʻAkkah al-maḥrūsah wa-ḥuṣūl al-naṣr ʻalayhim,Q12136
Shamāʼil Sharīf /,,شمائل شريف /,Shamāʼil,شمائل,,,Shamāʼil,Q12228
Shamāʼil Sharīf,,شمائل شريف,Shamāʼil,شمائل,,,Shamāʼil,Q12228
Kitāb al-Shamāyil fī al-aḥādīth al-Nabawīyah /,,كتاب الشمايل في الاحاديث النبوية /,Shamāʼil,شمائل,,,Shamāʼil,Q12228
Ashraf al-wasāyil ilá fahm al-Shamāyil /,,اشرف الوسايل الى فهم الشمايل /,Ashraf al-wasāʼil ilá fahm al-Shamāʼil,اشرف الوسائل الى فهم الشمائل,,,Ashraf al-wasāʼil ilá fahm al-Shamāʼil,Q11770
Jamʻ al-wasāʼil fī sharḥ al-Shamāʼil,,جمع الوسائل في شرح الشمائل,,,,,,
Hādhā Sharḥ al-Shamāyil /,,هذا شرح الشمايل /,Mawāhib al-Muḥammadīyah bi-sharḥ al-Shamāʼil al-Tirmidhīyah,مواهب المحمدية بشرح الشمائل الترمذية,,,,
al-Rawḍ al-unuf /,,الروض الانف /,,,,,Rawḍ al-unuf,Q11853
Kitāb al-lktifāʼ,,كتاب اللكتفاء,Iktifāʼ fī maghāzī al-Muṣṭafá,اكتفاء في مغازي المصطفى,,,Iktifāʼ fī maghāzī al-Muṣṭafá,Q12180
ʻUyūn al-athar fī funūn al-maghāzī wa-al-shamāyil wa-al-siyar,,عيون الاثر في فنون المغازي والشمايل والسير,,,,,ʻUyūn al-athar fī funūn al-maghāzī wa-al-shamāyil wa-al-siyar,Q11772
Kitāb Nūr al-ʻuyūn fī talkhīṣ siyar al-amīn al-maʼmūn /,,كتاب نور العيون في تلخيص سير الامين المأمون /,Nūr al-ʻuyūn fī talkhīṣ siyar al-amīn al-maʼmūn,نور العيون في تلخيص سير الامين المأمون,,,Nūr al-ʻuyūn fī talkhīṣ siyar al-amīn al-maʼmūn,Q11663
Hādhā Kitāb Matn Alfīyat al-sīrah /,,هذا كتاب متن الفية السيرة /,Naẓm al-durar al-sanīyah,نظم الدرر السنية,,,Naẓm al-durar al-sanīyah,Q12132
Kitāb al-Fawāyid al-bahīyah ʻalá al-Durar al-sanīyah fī naẓm al-sīrah al-zakīyah /,,كتاب الفوايد البهية على الدرر السنية في نظم السيرة الزكية /,Fawāyid al-bahīyah ʻalá al-Durar al-sanīyah fī naẓm al-sīrah al-zakīyah,فوايد البهية على الدرر السنية في نظم السيرة الزکية,,,Fawāyid al-bahīyah ʻalá al-Durar al-sanīyah fī naẓm al-sīrah al-zakīyah,Q11798
Kitāb al-Āyah al-kubrá fī sharḥ qiṣṣat al-isrā /,,كتاب الاية الكبرى في شرح قصة الاسرا /,Āyah al-kubrá fī sharḥ qiṣṣat al-isrāʼ,آية الکبرى في شرح قصة الاسراء,,,Āyah al-kubrá fī sharḥ qiṣṣat al-isrāʼ,Q12008
Hādhā matn al-Khaṣāyiṣ al-ṣughrá al-musammá bi-al-Unmūdhaj lil-ʻAllāmah al-Suyūṭī /,Hadiths,هذا متن الخصايص الصغرى المسمى بالانموذج للعلامة السيوطي /,Fatḥ al-qarīb al-mujīb fī naẓm Khaṣāʼiṣ al-ḥabīb,فتح القريب المجيب في نظم خصائص الحبيب,Hadiths,Q11863,,
Kitāb Rafʻ al-khaṣāyiṣ ʻan ṭullāb qirāʼ al-khaṣāyiṣ /,,كتاب رفع الخصايص عن طلاب قراء الخصايص /,Rafʻ al-khaṣāyiṣ ʻan ṭullāb al-khaṣāyiṣ,رفع الخصايص عن طلاب الخصايص,,,Rafʻ al-khaṣāyiṣ ʻan ṭullāb al-khaṣāyiṣ,Q11642
Kitāb siyar Nabī /,,كتاب سير نبي /,Naẓm sīrat al-Nabī wa-sharḥuhā,نظم سيرة النبي وشرحها,,,Naẓm sīrat al-Nabī wa-sharḥuhā,Q12000
Kitāb Itmām al-niʻmah al-kubrá ʻalá al-ʻālam bi-mawlid sayyid wuld Ādam /,,كتاب اتمام النعمة الكبرى على العالم بمولد سيد ولد آدم /,Itmām al-niʻmah al-kubrá ʻalá al-ʻālam bi-mawlid sayyid wuld Ādam,اتمام النعمة الكبرى على العالم بمولد سيد ولد آدم,,,Itmām al-niʻmah al-kubrá ʻalá al-ʻālam bi-mawlid sayyid wuld Ādam,Q11940
Kitāb Irshād al-ḥāyirīn bi-sharḥ Bahjat al-sāmiʻīn wa-al-nāẓirīn bi-mawlid Sayyid al-Awwalīn wa-al-Ākhirīn /,,كتاب ارشاد الحايرين بشرح بهجة السامعين والناظرين بمولد سيد الاولين والآخرين /,Irshād al-ḥāʼrīn bi-sharḥ Bahjat al-sāmiʻīn wa-al-nāẓirīn bi-mawlid Sayyid al-Awwalīn wa-al-Ākhirīn,ارشاد الحائرين بشرح بهجة السامعين والناظرين بمولد سيد الاولين والآخرين,,,Irshād al-ḥāʼrīn bi-sharḥ Bahjat al-sāmiʻīn wa-al-nāẓirīn bi-mawlid Sayyid al-Awwalīn wa-al-Ākhirīn,Q11951
al-Juzʼ al-awwal min Sīrat al-Ḥalabī,,الجزؤ الاول من سيرة الحلبي,Sīrah al-Ḥalabīyah,سيرة الحلبية,,,Sīrah al-Ḥalabīyah,Q12076
Kitāb al-Riyāḍāt al-zāhirāt fī al-ghazawāt wa-al-sarāyāt al-nabawīyāt /,,كتاب الرياضات الزاهرات في الغزوات والسرايات النبويات /,Riyāḍāt al-zāhirāt fī al-ghazawāt wa-al-sarāyāt al-nabawīyāt,رياضيات الزاهرات في الغزوات والسرايات النبويات,,,Riyāḍāt al-zāhirāt fī al-ghazawāt wa-al-sarāyāt al-nabawīyāt,Q12086
Ḍiyāʼ al-abṣār fī mawlid al-Nabī al-mukhtār,,ضياء الابصار في مولد النبي المختار,,,,,Fī mawlid al-Nabī al-mukhtār,Q12129
Hādhā Sharḥ laṭīf al-muṣaḥḥaḥ fī ṣifat Sayyid al-Mursalīn wa-al-ʻasharah al-mubashsharah wa-al-Ḥasan wa-al-Ḥusayn wa-ʻadad zawajātihi ṣallá Allāh ʻalayhi wa-sallam wa-ʻadad awlādihi wa-jaddātihi wa-asmāʼ aṣḥāb al-kahf ʻalá al-qawl al-aṣḥaḥḥ /,Text on al-Hasan and his family,هذا شرح لطيف المصحح في صفة سيد المرسلين والعشرة المبشرة والحسن والحسين وعدد زوجاته صلى الله عليه وسلم وعدد اولاده وجداته واسماء اصحاب الكهف على القول الاصحح /,Sharḥ fī ṣifat Sayyid al-Mursalīn wa-al-ʻasharah al-mubashsharah wa-al-Ḥasan wa-al-Ḥusayn wa-ʻadad zawajātihi wa-awlādihi wa-jaddātihi wa-asmāʼ aṣḥāb al-kahf,شرح في صفة سيد المرسلين والعشرة المبشرة والحسن والحسين وعدد زوجاته واولاده وجداته واسماء اصحاب الكهف,Text on al-Hasan and his family,Q68191,,
al-Zahr al-fāyiq fī mawlid ashraf al-khalāyiq /,,الزهر الفايق في مولد اشرف الخلايق /,Zahr al-fāʼiq fī mawlid ashraf al-khalāʼiq,زهر الفائق في مولد اشرف الخلائق,,,Zahr al-fāʼiq fī mawlid ashraf al-khalāʼiq,Q11993
Kitāb Fatḥ al-ʻalīm al-sattār al-munajjī ʻalá qiṣṣat al-mawlid lil-ʻAllāmah Jaʻfar al-Barzanjī /,,كتاب فتح العليم الستار المنجي على قصة المولد للعلامة جعفر البرزنجي /,Fatḥ al-ʻalīm al-sattār al-munajjī ʻalá qiṣṣat al-mawlid lil-ʻAllāmah Jaʻfar al-Barzanjī,فتح العليم الستار المنجي على قصة المولد للعلامة جعفر البرزنجي,,,Fatḥ al-ʻalīm al-sattār al-munajjī ʻalá qiṣṣat al-mawlid lil-ʻAllāmah Jaʻfar al-Barzanjī,Q12215
Risālah laṭīfah fī sīrat Nabīnā Muḥammad /,,رسالة لطيفة في سيرة نبينا محمد /,Risālah fī sīrat al-Nabī,رسالة في سيرة النبي,,,Risālah fī sīrat al-Nabī,Q12115
