place_as_recorded,authorized_label,structured_value,ds_qid
Bavaria or Austria,Bavaria;Austria,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/1000062,Q1303;Q132
Bavaria or Austria?,Bavaria;Austria,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/1000062,Q1303;Q132
Bayt al-Faqīh [Yemen?,Bayt al Faqīh;Yemen,http://vocab.getty.edu/tgn/1087306;http://vocab.getty.edu/tgn/7000261,Q11607;Q2825
Bayt al-Faqīh Yemen,Bayt al Faqīh,http://vocab.getty.edu/tgn/1087306,Q11607
Bayt al-Faqīh Yemen,Bayt al Faqīh,http://vocab.getty.edu/tgn/1087306,Q11607
Baʻlabakk,Baalbek,http://vocab.getty.edu/tgn/7002856,Q64091
"Beauvais, France",Beauvais;France,http://vocab.getty.edu/tgn/7010570;http://vocab.getty.edu/tgn/1000070,Q42079;Q122
Beijing,Beijing,http://vocab.getty.edu/tgn/7001758,Q12694
"Belém, Portugal",Belém;Portugal,http://vocab.getty.edu/tgn/7010773;http://vocab.getty.edu/tgn/1000090,Q19884;Q19906
Belgium,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
"Belgium, Antwerp",Belgium;Antwerp,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007856,Q1243;Q38139
"Belgium, Belgium",Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
"Belgium, Belgium (?)",Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
"Belgium, Belgium (Liege?)",Belgium;Liège,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007945,Q1243;Q4992
"Belgium, between ca. 1275 and ca. 1300",Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
"Belgium, Brabant",Belgium;Brabant,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7003463,Q1243;Q1313
"Belgium, Bruges",Belgium;Bruges,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007867,Q1243;Q16418
"Belgium, East Flanders",Belgium;East Flanders,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7003457,Q1243;Q38189
"Belgium, Flanders",Belgium;Flanders,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7024097,Q1243;Q126
"Belgium, France",Belgium;France,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000070,Q1243;Q122
"Belgium, Hainault","Belgium;Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877,Q1243;Q1300
"Belgium, Liège",Belgium;Liège,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007945,Q1243;Q4992
"Belgium, Metz",Belgium;Metz,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7008418,Q1243;Q6981
"Belgium, Mosan",Belgium;Mosan,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7030259,Q1243;Q19903
"Belgium, Northern Belgium",Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
"Belgium, Southeast Low Countries (?)",Belgium;Low Countries,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7029439,Q1243;Q1115
