item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131477654,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.26",manuscript containing Missal,DS11445,Q49699,Q49700,Ohio State University,Spec.Rare.MS.MR.Frag.26
http://www.wikidata.org/entity/Q131477655,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.27",manuscript containing Antiphonal,DS11446,Q49702,Q49703,Ohio State University,Spec.Rare.MS.MR.Frag.27
http://www.wikidata.org/entity/Q131477656,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.28",manuscript containing Book of Hours,DS11447,Q49705,Q49706,Ohio State University,Spec.Rare.MS.MR.Frag.28
http://www.wikidata.org/entity/Q131477657,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.29",manuscript containing Book of Hours,DS11448,Q49708,Q49709,Ohio State University,Spec.Rare.MS.MR.Frag.29
http://www.wikidata.org/entity/Q131477658,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.30",manuscript containing Book of Hours,DS11449,Q49711,Q49712,Ohio State University,Spec.Rare.MS.MR.Frag.30
http://www.wikidata.org/entity/Q131477659,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.31",manuscript containing Book of Hours,DS11450,Q49714,Q49715,Ohio State University,Spec.Rare.MS.MR.Frag.31
http://www.wikidata.org/entity/Q131477660,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.32",manuscript containing Psalter and Hymnal,DS11451,Q49717,Q49718,Ohio State University,Spec.Rare.MS.MR.Frag.32
http://www.wikidata.org/entity/Q131477661,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.33",manuscript containing Missal,DS11452,Q49720,Q49721,Ohio State University,Spec.Rare.MS.MR.Frag.33
http://www.wikidata.org/entity/Q131477662,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.34",manuscript containing Psalter,DS11453,Q49723,Q49724,Ohio State University,Spec.Rare.MS.MR.Frag.34
http://www.wikidata.org/entity/Q131478011,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.35",manuscript containing Epistula ad Paulum super obit Blaesillae filiae,DS11454,Q49726,Q49727,Ohio State University,Spec.Rare.MS.MR.Frag.35
http://www.wikidata.org/entity/Q131477663,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.36",manuscript containing Book of Hours,DS11455,Q49729,Q49730,Ohio State University,Spec.Rare.MS.MR.Frag.36
http://www.wikidata.org/entity/Q131477664,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.37",manuscript containing Lectionary,DS11456,Q49732,Q49733,Ohio State University,Spec.Rare.MS.MR.Frag.37
http://www.wikidata.org/entity/Q131477665,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.38",manuscript containing Missal,DS11457,Q49735,Q49736,Ohio State University,Spec.Rare.MS.MR.Frag.38
http://www.wikidata.org/entity/Q131478012,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.39",manuscript containing Ab urbe condita libri,DS11458,Q49738,Q49739,Ohio State University,Spec.Rare.MS.MR.Frag.39
