item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138106267,"Williamstown, Massachusetts, Williams College, Gen Mss Madḥ",manuscript containing Madḥ manuscript,DS25530,https://search.digital-scriptorium.org/catalog/DS25530,Q98316,Q98317,Williams College,Gen Mss Madḥ
http://www.wikidata.org/entity/Q138106269,"Williamstown, Massachusetts, Williams College, Gen Mss Majmuah","manuscript containing Majmūʻah manuscript, 1184 H. [1770-1771].",DS25531,https://search.digital-scriptorium.org/catalog/DS25531,Q98319,Q98320,Williams College,Gen Mss Majmuah
http://www.wikidata.org/entity/Q138106264,"Williamstown, Massachusetts, Williams College, Gen Mss Sadi",manuscript containing Ghazaliyat of Sa'dī,DS25532,https://search.digital-scriptorium.org/catalog/DS25532,Q98322,Q98323,Williams College,Gen Mss Sadi
http://www.wikidata.org/entity/Q138106270,"Williamstown, Massachusetts, Williams College, Gen Mss Abe",manuscript containing Nanakusa no ben.; 七種之辨,DS25533,https://search.digital-scriptorium.org/catalog/DS25533,Q98325,Q98326,Williams College,Gen Mss Abe
http://www.wikidata.org/entity/Q138106271,"Williamstown, Massachusetts, Williams College, Gen Mss Buranji",manuscript containing Buranji,DS25534,https://search.digital-scriptorium.org/catalog/DS25534,Q98328,Q98329,Williams College,Gen Mss Buranji
http://www.wikidata.org/entity/Q138105920,"Williamstown, Massachusetts, Williams College, Gen Mss Shan",manuscript containing Khun Ho Kham Kap Ping Na,DS25535,https://search.digital-scriptorium.org/catalog/DS25535,Q98331,Q98332,Williams College,Gen Mss Shan
http://www.wikidata.org/entity/Q138106272,"Williamstown, Massachusetts, Williams College, Gen Mss Ethiopian",manuscript containing Ethiopian healing scroll.,DS25536,https://search.digital-scriptorium.org/catalog/DS25536,Q98334,Q98335,Williams College,Gen Mss Ethiopian
http://www.wikidata.org/entity/Q138105922,"Williamstown, Massachusetts, Williams College, Gen Mss Esther",manuscript containing [Scroll of Esther]; מגילת אסתר,DS25537,https://search.digital-scriptorium.org/catalog/DS25537,Q98337,Q98338,Williams College,Gen Mss Esther
http://www.wikidata.org/entity/Q138106274,"Williamstown, Massachusetts, Williams College, Gen Mss Yue An Gong",manuscript containing Bā lǐ jié yào xià :,DS25538,https://search.digital-scriptorium.org/catalog/DS25538,Q98340,Q98341,Williams College,Gen Mss Yue An Gong
http://www.wikidata.org/entity/Q138106283,"Williamstown, Massachusetts, Williams College, Gen Mss Nulinio",manuscript containing Nuliniŏ; 訥人俚语 : 手稿,DS25539,https://search.digital-scriptorium.org/catalog/DS25539,Q98343,Q98344,Williams College,Gen Mss Nulinio
http://www.wikidata.org/entity/Q138106285,"Williamstown, Massachusetts, Williams College, Gen Mss Chinese Divination",manuscript containing [Chinese divination manuscript],DS25540,https://search.digital-scriptorium.org/catalog/DS25540,Q98346,Q98347,Williams College,Gen Mss Chinese Divination
http://www.wikidata.org/entity/Q138106073,"Williamstown, Massachusetts, Williams College, Gen Mss Kanroji",manuscript containing 職人尽歌合; Uta hanshi Kanroji Motonaga kyo hitsu. Shokunin zukushi utaawase. Su nijuyon ban. Kenpo,DS25541,https://search.digital-scriptorium.org/catalog/DS25541,Q98349,Q98350,Williams College,Gen Mss Kanroji
http://www.wikidata.org/entity/Q138106075,"Williamstown, Massachusetts, Williams College, Gen Mss Burmese",manuscript containing Burmese book on palmyra palm leaf,DS25542,https://search.digital-scriptorium.org/catalog/DS25542,Q98352,Q98353,Williams College,Gen Mss Burmese
http://www.wikidata.org/entity/Q138106076,"Williamstown, Massachusetts, Williams College, Gen Mss Kimono",manuscript containing Kimono designs,DS25543,https://search.digital-scriptorium.org/catalog/DS25543,Q98355,Q98356,Williams College,Gen Mss Kimono
http://www.wikidata.org/entity/Q138106078,"Williamstown, Massachusetts, Williams College, Gen Mss Parabaik",manuscript containing Parabaik,DS25544,https://search.digital-scriptorium.org/catalog/DS25544,Q98358,Q98359,Williams College,Gen Mss Parabaik
