title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Section of al-Jāmiʻ al-ṣaḥīḥ,جزء من الجامع الصحيح,Jāmiʻ al-ṣaḥīḥ.,جامع الصحيح.,Jāmiʻ al-ṣaḥīḥ,
Selections from Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār ... etc,"مختارات من مجمع بحار الانوار في غرائب التنزيل ولطائف الاخبار ...
				الخ.",,,Selections from Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār,
Sermones Sancti Augustini Episcopi,,In Evangelium Iohannis tractatus,,Sermons,
Shamāʼil Sharīf,شمائل شريف.,Shamāʼil,شمائل,Shamāʼil,
Shamāʼil Sharīf /,شمائل شريف /,Shamāʼil,شمائل,Shamāʼil,
Sharḥ abyāt lil-Mulakhkhaṣ min ʻilm al-bayān,شرح ابيات للملخص من علم البيان.,,,Sharḥ abyāt lil-Mulakhkhaṣ min ʻilm al-bayān,
Sharḥ Ādāb al-baḥth lil-Fanārī /,شرح آداب البحث للفناري /,Sharḥ ʻalá Risālah fī ādāb al-baḥth,شرح على رسالة في اداب البحث,Sharḥ ʻalá Risālah fī ādāb al-baḥth,
Sharḥ al-ādāb ... etc,شرح الاداب ... الخ.,,,Sharḥ al-ādāb,
Sharḥ al-arbaʻīn /,شرح الاربعين /,,,Sharḥ al-arbaʻīn,
Sharḥ al-Azharīyah fī ʻilm al-ʻArabīyah /,شرح الازهرية في علم العربية /,Sharḥ al-Muqaddimah al-Azharīyah,شرح المقدمة الازهرية,Sharḥ al-Muqaddimah al-Azharīyah,
Sharḥ al-Azʹharīyah. Wa-Sharḥ al-Miṣbāḥ fī al-naḥw,شرح الازهرية. وشرح المصباح في النحو.,,,Sharḥ al-Azʹharīyah,
Sharḥ al-Burdah wa-iʻrābuhā /,شرح البردة واعرابها /,,,Sharḥ al-Burdah wa-iʻrābuhā,
Sharḥ al-Farāyiḍ /,شرح الفرايض /,Sharḥ al-Farāʼiḍ al-Sirājīyah,شرح الفرائض السراجية,Sharḥ al-Farāʼiḍ al-Sirājīyah,
Sharḥ al-Istiʻārāt ... etc,شرح الاستعارات ... الخ.,,,Sharḥ al-Istiʻārāt,
Sharḥ al-Khabīṣī ʻalá al-Kāfiyah fī al-naḥw,شرح الخبيصي على الكافية في النحو.,Muwashshaḥ,موشح,Muwashshaḥ,
Sharḥ al-Khazrajīyah al-musammá ḥall al-Rāmizah fī ʻilmay al-ʻarūḍ wa-al-qāfiyah ... etc,"شرح الخزرجية المسمى حل الرامزة في علمي العروض والقافية ...
				الخ.",,,Sharḥ al-Khazrajīyah al-musammá ḥall al-Rāmizah fī ʻilmay al-ʻarūḍ wa-al-qāfiyah,
Sharḥ al-Khulāṣah /,شرح الخلاصة /,Sharḥ Alfīyat Ibn Mālik,شرح الفية ابن مالك,Sharḥ Alfīyat Ibn Mālik,
Sharḥ al-Lumaʻ fī ʻilm al-ḥisāb,شرح اللمع في علم الحساب,,,Sharḥ al-Lumaʻ fī ʻilm al-ḥisāb,
Sharḥ al-Manār fī ʻilm al-uṣūl /,شرح المنار في علم الأصول /,Sharḥ Manār al-anwār fī uṣūl al-fiqh,شرح منار الانوار في اصول الفقه,Sharḥ Manār al-anwār fī uṣūl al-fiqh,
Sharḥ al-Muhadhdhab /,شرح المهذب /,Sharḥ al-Muhadhdhab.,شرح المهذب.,Sharḥ al-Muhadhdhab,
Sharḥ al-Muḥarrar fiqh Shāfiʻī,شرح المحرر فقه شافعي.,Sharḥ al-Muḥarrar.,شرح المحرر.,Sharḥ al-Muḥarrar,
Sharḥ al-Mukhtaṣar fī māʻrifat al-taqāwīm,شرح المختصر في معرفة التقاويم.,,,Sharḥ al-Mukhtaṣar fī māʻrifat al-taqāwīm,
Sharḥ al-Qaṣīdah al-Muḍarīyah,شرح القصيدة المضرية.,,,Sharḥ al-Qaṣīdah al-Muḍarīyah,
Sharḥ al-Risālah al-ʻAḍudīyah ... etc,شرح الرسالة العضدية ... الخ.,,,Sharḥ al-Risālah al-ʻAḍudīyah,
Sharḥ al-Risālah fī ādāb al-baḥth ... etc,شرح الرسالة في آداب البحث ... الخ.,,,Sharḥ al-Risālah fī ādāb al-baḥth,
Sharḥ al-ṣadr bi-sharḥ urjūzat Istinzāl al-naṣr bi-al-tawassul bi-ahl Badr,شرح الصدر بشرح ارجوزة استنزال النصر بالتوسل باهل بدر.,,,Sharḥ al-ṣadr bi-sharḥ urjūzat Istinzāl al-naṣr bi-al-tawassul bi-ahl Badr,
Sharḥ al-Shāfiyah,شرح الشافية,,,Sharḥ al-Shāfiyah,
Sharḥ al-Unmūdhaj ... etc,شرح الانموذج ... الخ.,,,Sharḥ al-Unmūdhaj,
Sharḥ al-ʻAwāmil,شرح العوامل.,Sharḥ al-ʻAwāmil al-miʼah,شرح العوامل المائة,Sharḥ al-ʻAwāmil al-miʼah,
Sharḥ al-ʻAwāmil al-miʼah,شرح العوامل المائة.,,,Sharḥ al-ʻAwāmil al-miʼah,
Sharḥ al-ʻAwāmil al-miʼah ... etc,شرح العوامل المائة ... الخ.,,,Sharḥ al-ʻAwāmil al-miʼah,
Sharḥ Andalusī fī al-ʻarūḍ ... etc,شرح اندلسي في العروض ... ت.,,,Sharḥ Andalusī fī al-ʻarūḍ,
Sharḥ Ḍawʼ al-Miṣbāḥ,شرح ضوء المصباح,,,Sharḥ Ḍawʼ al-Miṣbāḥ,
Sharḥ Dīwān al-Khansāʼ bint ʻAmr ...,شرح ديوان الخنساء بنت عمرو ...,,,Sharḥ Dīwān al-Khansāʼ bint ʻAmr,
Sharḥ Fatḥīyah /,شرح فتحية /,,,Sharḥ Fatḥīyah,
Sharḥ Gulistān,شرح کلستان.,,,Sharḥ Gulistān,
Sharḥ ḥadīth fī-faḍl al-Rūm,,,,Sharḥ ḥadīth fī-faḍl al-Rūm,
Sharḥ Ḥasan Pāshah ʻalá al-Marāḥ,شرح حسن پاشه على المراح.,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,مفراح في شرح مراح الارواح,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,
Sharḥ Īsāghūjī al-jadīd /,شرح ايساغوجي الجديد /,,,Sharḥ Īsāghūjī al-jadīd,
Sharḥ Khayālī /,شرح خيالي /,,,Sharḥ Khayālī,
Sharḥ Khuṭbat Sharḥ al-Shamsīyah lil-Saʻd al-Taftāzānī wa-yalīhi Sharḥ al-Shamsīyah la-hu ayḍan,شرح خطبة شرح الشمسية للسعد التفتازاني ويليه شرح الشمسية له ايضا.,,,Sharḥ Khuṭbat Sharḥ al-Shamsīyah lil-Saʻd al-Taftāzānī,
Sharḥ Kitāb al-Kāfiyah fī al-naḥw,شرح كتاب الكافية في النحو,,,Sharḥ Kitāb al-Kāfiyah fī al-naḥw,
Sharḥ Kitāb al-Waqf wa-al-ibtidāʼ,شرح کتاب الوقف والابتداء.,,,Sharḥ Kitāb al-Waqf wa-al-ibtidāʼ,
Sharḥ Kitāb ibn al-Ṣalāḥ fī ʻilm al-ḥadīth /,شرح كتاب ابن الصلاح في علم الحديث /,,,Sharḥ Kitāb ibn al-Ṣalāḥ fī ʻilm al-ḥadīth,
Sharḥ Lāmīyat al-ʻArab,شرح لامية العرب.,,,Sharḥ Lāmīyat al-ʻArab,
Sharḥ laṭīf ʻalá al-ʻaqīdah al-Shaybānīyah ... etc,شرح لطيف على العقيدة الشيبانية ... الخ.,,,Sharḥ laṭīf ʻalá al-ʻaqīdah al-Shaybānīyah,
Sharḥ Manẓūmah fī al-naḥw Luʼluʼat al-nuḥāh,شرح منظومة في النحو لؤلؤة النحاة.,,,Sharḥ Manẓūmah fī al-naḥw Luʼluʼat al-nuḥāh,
Sharḥ Marāḥ Dunqūz,شرح مراح دنقوز,Sharḥ Marāḥ al-arwāḥ.,شرح مراح الارواح.,Sharḥ Marāḥ al-arwāḥ,
Sharḥ Mawāqif,شرح مواقف.,,,Sharḥ Mawāqif,
Sharḥ Miftāḥ al-Sakkākī /,شرح مفتاح السكاكي /,,,Sharḥ Miftāḥ al-Sakkākī,
Sharḥ Minhāj al-ṭālibīn,شرح منهاج الطالبين.,,,Sharḥ Minhāj al-ṭālibīn,
Sharḥ Mūjaz Nafīsī,شرح موجز نفيسي,Sharḥ al-Mūjaz fī al-ṭibb.,شرح الموجز في الطب.,Sharḥ al-Mūjaz fī al-ṭibb,
Sharḥ Mukhtaṣar al-Muntahá fī al-uṣūl,شرح مختصر المنتهى في الاصول.,,,Sharḥ Mukhtaṣar al-Muntahá fī al-uṣūl,
Sharḥ Muslim /,شرح مسلم /,Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,منهاج في شرح مسلم بن الحجاج,Minhāj fī sharḥ Muslim ibn al-Ḥajjāj,
Sharḥ Qaṣīdah mīmīyah fī al-farq bayna al-ḍād wa-al-ẓāʼ,شرح قصيدة ميمية في الفرق بين الضاد والظاء,,,Sharḥ Qaṣīdah mīmīyah fī al-farq bayna al-ḍād wa-al-ẓāʼ,
Sharḥ Ṣaḥīḥ al-Bukhārī /,شرح صحيح البخاري /,Sharḥ Ṣaḥīḥ al-Bukhārī.,شرح صحيح البخاري.,Sharḥ Ṣaḥīḥ al-Bukhārī,
Sharḥ shawāhid al-Muṭawwal wa-al-Mukhtaṣar ... etc,شرح شواهد المطول والمختصر ... الخ.,,,Sharḥ shawāhid al-Muṭawwal wa-al-Mukhtaṣar,
Sharḥ taṣrīf al-Shāfiyah /,شرح تصريف الشافية /,Sharḥ al-Shāfiyah,شرح الشافية,Sharḥ al-Shāfiyah,
Sharḥ Taʻlīm al-mutaʻallim fī ṭarīq al-taʻallum,شرح تعليم المتعلم في طريق التعلم.,,,Sharḥ Taʻlīm al-mutaʻallim fī ṭarīq al-taʻallum,
Sharḥ Unmūdhaj,شرح انموذج.,Ḥadāʼiq al-daqāʼiq fī sharḥ risālat ʻallāmat al-ḥaqāʼiq.,حدائق الدقائق في شرح رسالة علامة الحقائق.,Ḥadāʼiq al-daqāʼiq fī sharḥ risālat ʻallāmat al-ḥaqāʼiq,
Sharḥ Unmūdhaj Ardabīlī,شرح انموذج اردبيلي,Sharḥ al-Unmūdhaj,شرح الانموذج,Sharḥ al-Unmūdhaj,
Sharḥ Wiqāyat al-riwāyah fī masāʼil al-Hidāyah,شرح وقاية الرواية في مسائل الهداية.,Sharḥ al-Wiqāyah,شرح الوقاية,Sharḥ al-Wiqāyah,
Sharḥ ʻalá al-Risālah al-Ḥusaynīyah ... etc,شرح على الرسالة الحسينية ... الخ.,,,Sharḥ ʻalá al-Risālah al-Ḥusaynīyah,
Sharḥ ʻalá al-Risālah al-Ḥusaynīyah fī ādāb al-baḥth ... etc,شرح على الرسالة الحسينية في آداب البحث ... الخ.,,,Sharḥ ʻalá al-Risālah al-Ḥusaynīyah fī ādāb al-baḥth,
Sharḥ ʻalá al-Taṣrīf al-ʻIzzī ... etc,شرح على التصريف العزي ... الخ..,,,Sharḥ ʻalá al-Taṣrīf al-ʻIzzī,
Sharḥ ʻalá kitāb fī al-fiqh,شرح على کتاب في الفقه.,,,Sharḥ ʻalá kitāb fī al-fiqh,
Shifāʼ bi-taʻrīf ḥuqūq al-Muṣṭafá,شفاء بتعريف حقوق المصطفى.,,,Shifāʼ bi-taʻrīf ḥuqūq al-Muṣṭafá,
Sukkardān al-sulṭān,سكردان السلطان,,,Sukkardān al-sulṭān,
Ṣūrat suʼāl wa-jawāb bi-maʻrifat mawāqīt al-ṣalāh ʻalá qawl ahl al-falak hal yuwāfiqu qawl ahl al-sharʻ aw lā /,"صورة سؤال وجواب بمعرفة مواقيت الصلاة على قول اهل الفلك هل يوافق قول اهل
				الشرع او لا /",,,Ṣūrat suʼāl wa-jawāb bi-maʻrifat mawāqīt al-ṣalāh ʻalá qawl ahl al-falak hal,
Tabyīn al-qawāʻid al-sadīd fī tarjamat al-ʻAwāmil al-jadīd ... etc,تبيين القواعد السديد في ترجمة العوامل الجديد ... ت.,,,Tabyīn al-qawāʻid al-sadīd fī tarjamat al-ʻAwāmil al-jadīd,
Tafāʼ lā dhāt al-shifā fī sīrat al-Nabī thumma al-khulafā ... etc,تفاء لا ذات الشفا في سيرة النبي ثم الخلفا ... الخ.,,,Tafāʼ lā dhāt al-shifā fī sīrat al-Nabī thumma al-khulafā,
Tafsīr ... min Sūrat al-Māʼidah ilá ākhir Sūrat Yūsuf ʻalayhi al-salām /,تفسير ... من سورة المائدة الى آخر سورة يوسف عليه السلام /,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm.,ارشاد العقل السليم الى مزايا الكتاب الكريم.,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm,
Tafsīr al-Mawlá Abū al-Saʻūd ʻalá Sūrat al-Baqarah,تفسير المولى ابو السعود على سورة البقرة.,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm.,ارشاد العقل السليم الى مزايا الکتاب الکريم.,Irshād al-ʻaql al-salīm ilá mazāyā al-Kitāb al-Karīm,
Tafsīr al-Qurʼān,تفسير القرآن,,,Tafsīr al-Qurʼān,
Tafsīr al-Qurʼān al-ʻaẓīm /,تفسير القرآن العظيم /,Murshid al-ṭālibīn li-tafsīr al-Furqān al-mubīn,مرشد الطالبين لتفسير الفرقان المبين,Murshid al-ṭālibīn li-tafsīr al-Furqān al-mubīn,
Tafsīr gharīb al-Jāmiʻ al-ṣaghīr,تفسير غريب الجامع الصغير.,,,Tafsīr gharīb al-Jāmiʻ al-ṣaghīr,
Tafsīr Sūrat al-Insān ... etc,تفسير سورة الانسان ... الخ.,Works.,اعمال.,Works,
Taghayyurāt ʻalá matn Īsāghūjī ... etc,تغييرات على متن ايساغوجي ... الخ.,,,Taghayyurāt ʻalá matn Īsāghūjī,
Taḥrīm ziyārat al-qubūr,تحريم زيارة القبور.,,,Taḥrīm ziyārat al-qubūr,
Tajrīd al-ʻaqāʼid,تجريد العقائد,,,Tajrīd al-ʻaqāʼid,
Takhmīs al-Qaṣāyid al-Witrīyāt lil-Shaykh al-Baghdādī,تخميس القصايد الوتريات للشيخ البغدادي.,Takhmīs al-Qaṣāʼid al-Witrīyah,تخميس القصائد الوترية,Takhmīs al-Qaṣāʼid al-Witrīyah,
Ṭalibat al-ṭalabah,طلبة الطلبة.,,,Ṭalibat al-ṭalabah,
Talkhīṣ al-Miftāḥ,تلخيص المفتاح.,,,Talkhīṣ al-Miftāḥ,
Tamrīn al-ṭullāb fī ṣināʻat al-iʻrāb,تمرين الطلاب في صناعة الاعراب.,,,Tamrīn al-ṭullāb fī ṣināʻat al-iʻrāb,
Tanfīs al-shiddah wa-bulūgh al-murād fī Takhmīs al-Burdah wa-hiya Bānat Suʻād ... etc,تنفيس الشدة وبلوغ المراد في تخميس البردة وهي بانت سعاد ... الخ,,,Tanfīs al-shiddah wa-bulūgh al-murād fī Takhmīs al-Burdah wa-hiya Bānat Suʻād,
Taqrīr al-qawānīn al-mutadāwalah min ʻilm al-munāẓarah,تقرير القوانين المتداولة من علم المناظرة.,,,Taqrīr al-qawānīn al-mutadāwalah min ʻilm al-munāẓarah,
Taqrīr ʻalá muqaddamat Jamʻ al-jawāmiʻ /,تقرير على مقدمة جمع الجوامع /,,,Taqrīr ʻalá muqaddamat Jamʻ al-jawāmi',
Tarājim al-sādāt al-shāfiʻīyah al-fuqahāʼ min Dhayl al-Rawḍatayn li-Abī Shāmah /,تراجم السادات الشافعية الفقهاء من ذيل الروضتين لابي شامة /,Ṭabaqāt al-Shāfiʻīyah,طبقات الشافعية,Ṭabaqāt al-Shāfiʻīyah,
Tārīkh Ibn Kathīr,تاريخ ابن كثير.,Bidāyah wa-al-nihāyah.,بداية والنهاية.,Bidāyah wa-al-nihāyah,
Tarjīʻ al-aṭyār bi-muraqqiṣ al-ashʻār /,ترجيع الاطيار بمرقص الاشعار /,,,Tarjīʻ al-aṭyār bi-muraqqiṣ al-ashʻār,
Tashrīḥ al-aflāk,تشريح الافلاك.,,,Tashrīḥ al-aflāk,
Tawjīh al-basmalah ... etc,توجيه البسملة ... الخ.,,,Tawjīh al-basmalah,
Taʻlīq al-fawāḍil ʻalá iʻrāb al-ʻAwāmil,تعليق الفواضل على اعراب العوامل.,,,Taʻlīq al-fawāḍil ʻalá iʻrāb al-ʻAwāmil,
Tāʻlīq mukhtaṣar ʻalá al-Arbaʻīn ḥadīth,تعليق مختصر على الاربعين حديثا.,,,Tāʻlīq mukhtaṣar ʻalá al-Arbaʻīn ḥadīth,
Taʻlīq ʻalá masāʼil al-Minhāj,تعليق على مسائل المنهاج.,,,Taʻlīq ʻalá masāʼil al-Minhāj,
Taʻrīfāt,تعريفات.,,,Taʻrīfāt,
Tercüme-yi Bahr ül-kelam,ترجمه بحر الکلام.,Baḥr al-kalām.,بحر الكلام.,Baḥr al-kalām,
Text on Islamic ethics,,,,Islamic ethics,
Thabat,ثبت.,,,Thabat,
The Canterbury tales,,,,Canterbury tales,
Theological miscellany,,,,,Theological miscellany
Treatise on Islamic eschatology,,,,Treatise on Islamic eschatology,
Tuḥfat al-aḥbāb wa-nukhbat al-aʻjāb /,تحفة الاحباب ونخبة الاعجاب /,,,Tuḥfat al-aḥbāb wa-nukhbat al-aʻjāb,
Tuḥfat al-akmal wa-al-humām al-muṣaddar li-bayān jawāz lubs al-aḥmar /,تحفة الاكمل والهمام المصدر لبيان جواز لبس الاحمر /,Taḥqīqāt al-Qudsīyah.,تحقيقات القدسية.,Taḥqīqāt al-Qudsīyah,
Tuḥfat al-anām fī faḍāʼil al-Shām /,تحفة الانام في فضائل الشام /,,,Tuḥfat al-anām fī faḍāʼil al-Shām,
Tuḥfat al-aṣfiyāʼ bi-manāqib al-awliyāʼ ... etc,تحفة الاصفيا بمناقب الاوليا ... الخ.,,,Tuḥfat al-aṣfiyāʼ bi-manāqib al-awliyāʼ,
Tuḥfat al-aṣḥāb wa-nuzʹhat dhawī al-albāb,تحفة الاصحاب ونزهة ذوي الالباب.,,,Tuḥfat al-aṣḥāb wa-nuzʹhat dhawī al-albāb,
Tuḥfat al-wujūd fī manāqib Abī al-Suʻūd,تحفة الموجود في مناقب ابي السعود.,,,Tuḥfat al-wujūd fī manāqib Abī al-Suʻūd,
Tuḥfat al-ʻibād sharḥ tashṭīr al-shaybānīyah,تحفة العباد شرح تشطير الشيبانية,Sharḥ Tuḥfat al-ʻibād bi-mā yajibu min al-iʻtiqād.,شرح تحفة العباد بما يجب من الاعتقاد.,Sharḥ Tuḥfat al-ʻibād bi-mā yajibu min al-iʻtiqād,
Turkish songs ... etc,,,,Turkish songs,
Two Arabic poems,,,,Two poems,
Urjūzah /,ارجوزة /,Urjūzah fī al-ṭibb,ارجوزة في الطب,Urjūzah fī al-ṭibb,
Wāfiyat Ḥājjī Bābā fī sharḥ al-Kāfiyah li-Ibn al-Ḥājib,وافية حاجي بابا في شرح الكافية لاابن الحاجب.,Wāfiyah fī sharḥ al-Kāfiyah,وافية في شرح الکافية,Wāfiyah fī sharḥ al-Kāfiyah,
Waqfīyat Jāmiʻ al-Khānaqāh bi-Miṣr,وقفية جامع الخانقاه بمصر.,,,Waqfīyat Jāmiʻ al-Khānaqāh bi-Miṣr,
Waṣfāt ṣaydalīyah,وصفات صيدلية.,,,Waṣfāt ṣaydalīyah,
Waẓāyif al-yawm wa-al-laylah /,وظايف اليوم والليلة /,Waẓāʼif al-yawm wa-al-laylah,وظائف اليوم والليلة,Waẓāʼif al-yawm wa-al-laylah,
Wiqāyat al-riwāyah /,وقاية الرواية /,,,Wiqāyat al-riwāyah,
Zawāl al-taraḥ fī fī sic manẓūmat Ibn Faraḥ /,زوال الترح في في كذا منظومة ابن فرح /,Zawāl al-taraḥ fī sharḥ manẓūmat Ibn Faraḥ,زوال الترح في شرح منظومة ابن فرح,Zawāl al-taraḥ fī sharḥ manẓūmat Ibn Faraḥ,
Ẓill asrār al-akhyār ʻalá Iẓhār al-asrār,ظل اسرار الاخيار على اظهار الاسرار.,,,Ẓill asrār al-akhyār ʻalá Iẓhār al-asrār,
Zubdat Kashf al-mamālik wa-bayān al-ṭuruq wa-al-masāli /,زبدة كشف الممالك وبيان الطرق والمسالك /,Kashf al-mamālik wa-bayān al-ṭuruq wa-al-masālik.,كشف الممالك وبيان الطرق والمسالك,Kashf al-mamālik wa-bayān al-ṭuruq wa-al-masālik,
ʻAjāʼib al-makhlūqāt /,عجائب المخلوقات /,Badʼ al-khalq wa-al-dunyā wa-qiṣaṣ al-anbiyāʼ,بدء الخلق والدنيا وقصص الانبياء,Badʼ al-khalq wa-al-dunyā wa-qiṣaṣ al-anbiyāʼ,
ʻImād ʻalá al-taṣawwurāt,عماد على التصورات.,Ḥāshiyah ʻalá Ḥāshiyat Sharḥ al-Shamsīyah,حاشية على حاشية شرح الشمسية,Ḥāshiyah ʻalá Ḥāshiyat Sharḥ al-Shamsīyah,
ʻIzzī Sharḥ Saʻd Dīn,عزي شرح سعد دين,Sharḥ ʻalá al-Taṣrīf al-ʻIzzī.,شرح على التصريف العزي.,Sharḥ ʻalá al-Taṣrīf al-ʻIzzī,
ʻUyūn al-athar fī funūn al-maghāzī wa-al-shamāyil wa-al-siyar,عيون الاثر في فنون المغازي والشمايل والسير,,,ʻUyūn al-athar fī funūn al-maghāzī wa-al-shamāyil wa-al-siyar,
ʻUyūn al-tafāsīr lil-fuḍalāʼ al-samāsīr,عيون التفاسير للفضلاء السماسير,,,ʻUyūn al-tafāsīr lil-fuḍalāʼ al-samāsīr,
